pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	contract_id	plan_id	segment_id	pending_flag	partial_flag	contract_year	eghp_flag	region_type	ma_or_pdp_region_code	region
R0110	001	0	1	31	11	R0110_001_0	R0110	001	0	0		2026	0	MA	16	Louisiana and Mississippi
R0110	003	0	1	31	11	R0110_003_0	R0110	003	0	0		2026	0	MA	16	Louisiana and Mississippi
R0110	004	0	1	31	11	R0110_004_0	R0110	004	0	0		2026	0	MA	07	North Carolina and Virginia
R0110	005	0	1	31	11	R0110_005_0	R0110	005	0	0		2026	0	MA	07	North Carolina and Virginia
R0110	006	0	1	31	11	R0110_006_0	R0110	006	0	0		2026	0	MA	07	North Carolina and Virginia
R0110	007	0	1	31	11	R0110_007_0	R0110	007	0	0		2026	0	MA	06	Pennsylvania and West Virginia
R0110	008	0	1	31	11	R0110_008_0	R0110	008	0	0		2026	0	MA	06	Pennsylvania and West Virginia
R0110	011	0	1	31	11	R0110_011_0	R0110	011	0	0		2026	0	MA	13	Indiana and Kentucky
R0110	012	0	1	31	11	R0110_012_0	R0110	012	0	0		2026	0	MA	13	Indiana and Kentucky
R0110	013	0	1	31	11	R0110_013_0	R0110	013	0	0		2026	0	MA	11	Michigan
R0110	014	0	1	31	11	R0110_014_0	R0110	014	0	0		2026	0	MA	11	Michigan
R0110	015	0	1	31	11	R0110_015_0	R0110	015	0	0		2026	0	MA	12	Ohio
R0110	016	0	1	31	11	R0110_016_0	R0110	016	0	0		2026	0	MA	12	Ohio
R0110	017	0	1	31	11	R0110_017_0	R0110	017	0	0		2026	0	MA	10	Alabama and Tennessee
R0110	018	0	1	31	11	R0110_018_0	R0110	018	0	0		2026	0	MA	10	Alabama and Tennessee
R0110	019	0	1	31	11	R0110_019_0	R0110	019	0	0		2026	0	MA	08	Georgia and South Carolina
R0110	020	0	1	31	11	R0110_020_0	R0110	020	0	0		2026	0	MA	08	Georgia and South Carolina
R0110	801	0	1	31	11	R0110_801_0	R0110	801	0	0		2026	0	MA	16	Louisiana and Mississippi
R0110	802	0	1	31	11	R0110_802_0	R0110	802	0	0		2026	0	MA	16	Louisiana and Mississippi
R0110	804	0	1	31	11	R0110_804_0	R0110	804	0	0		2026	0	MA	13	Indiana and Kentucky
R0110	805	0	1	31	11	R0110_805_0	R0110	805	0	0		2026	0	MA	13	Indiana and Kentucky
R0110	806	0	1	31	11	R0110_806_0	R0110	806	0	0		2026	0	MA	06	Pennsylvania and West Virginia
R0110	807	0	1	31	11	R0110_807_0	R0110	807	0	0		2026	0	MA	06	Pennsylvania and West Virginia
R0110	808	0	1	31	11	R0110_808_0	R0110	808	0	0		2026	0	MA	07	North Carolina and Virginia
R0110	809	0	1	31	11	R0110_809_0	R0110	809	0	0		2026	0	MA	07	North Carolina and Virginia
R0110	810	0	1	31	11	R0110_810_0	R0110	810	0	0		2026	0	MA	08	Georgia and South Carolina
R0110	811	0	1	31	11	R0110_811_0	R0110	811	0	0		2026	0	MA	08	Georgia and South Carolina
R0110	812	0	1	31	11	R0110_812_0	R0110	812	0	0		2026	0	MA	11	Michigan
R0110	813	0	1	31	11	R0110_813_0	R0110	813	0	0		2026	0	MA	11	Michigan
R0110	814	0	1	31	11	R0110_814_0	R0110	814	0	0		2026	0	MA	12	Ohio
R0110	815	0	1	31	11	R0110_815_0	R0110	815	0	0		2026	0	MA	12	Ohio
R0110	816	0	1	31	11	R0110_816_0	R0110	816	0	0		2026	0	MA	10	Alabama and Tennessee
R0110	817	0	1	31	11	R0110_817_0	R0110	817	0	0		2026	0	MA	10	Alabama and Tennessee
R0759	001	0	1	31	11	R0759_001_0	R0759	001	0	0		2026	0	MA	09	Florida
R0759	002	0	1	31	11	R0759_002_0	R0759	002	0	0		2026	0	MA	09	Florida
R0759	003	0	1	31	11	R0759_003_0	R0759	003	0	0		2026	0	MA	09	Florida
R1532	001	0	1	31	11	R1532_001_0	R1532	001	0	0		2026	0	MA	15	Arkansas and Missouri
R1532	002	0	1	31	11	R1532_002_0	R1532	002	0	0		2026	0	MA	15	Arkansas and Missouri
R1532	801	0	1	31	11	R1532_801_0	R1532	801	0	0		2026	0	MA	15	Arkansas and Missouri
R1532	802	0	1	31	11	R1532_802_0	R1532	802	0	0		2026	0	MA	15	Arkansas and Missouri
R2604	002	0	1	31	11	R2604_002_0	R2604	002	0	0		2026	0	MA	08	Georgia and South Carolina
R2604	005	0	1	31	11	R2604_005_0	R2604	005	0	0		2026	0	MA	08	Georgia and South Carolina
R3175	807	0	1	31	11	R3175_807_0	R3175	807	0	0		2026	1	MA	25	Hawaii
R3444	008	0	1	31	11	R3444_008_0	R3444	008	0	0		2026	0	MA	15	Arkansas and Missouri
R3444	009	0	1	31	11	R3444_009_0	R3444	009	0	0		2026	0	MA	15	Arkansas and Missouri
R3444	012	0	1	31	11	R3444_012_0	R3444	012	0	0		2026	0	MA	15	Arkansas and Missouri
R4182	001	0	1	31	11	R4182_001_0	R4182	001	0	0		2026	0	MA	17	Texas
R4182	003	0	1	31	11	R4182_003_0	R4182	003	0	0		2026	0	MA	17	Texas
R4182	004	0	1	31	11	R4182_004_0	R4182	004	0	0		2026	0	MA	17	Texas
R4182	801	0	1	31	11	R4182_801_0	R4182	801	0	0		2026	0	MA	17	Texas
R4182	802	0	1	31	11	R4182_802_0	R4182	802	0	0		2026	0	MA	17	Texas
R5342	805	0	1	31	11	R5342_805_0	R5342	805	0	0		2026	1	MA	03	New York
R5361	001	0	1	31	11	R5361_001_0	R5361	001	0	0		2026	0	MA	14	Illinois and Wisconsin
R5361	002	0	1	31	11	R5361_002_0	R5361	002	0	0		2026	0	MA	14	Illinois and Wisconsin
R5361	801	0	1	31	11	R5361_801_0	R5361	801	0	0		2026	0	MA	14	Illinois and Wisconsin
R5361	802	0	1	31	11	R5361_802_0	R5361	802	0	0		2026	0	MA	14	Illinois and Wisconsin
R5826	005	0	1	31	11	R5826_005_0	R5826	005	0	0		2026	0	MA	09	Florida
R5826	018	0	1	31	11	R5826_018_0	R5826	018	0	0		2026	0	MA	09	Florida
R5826	074	0	1	31	11	R5826_074_0	R5826	074	0	0		2026	0	MA	09	Florida
R5826	805	0	1	31	11	R5826_805_0	R5826	805	0	0		2026	0	MA	09	Florida
R5826	819	0	1	31	11	R5826_819_0	R5826	819	0	0		2026	0	MA	09	Florida
R5941	013	0	1	31	11	R5941_013_0	R5941	013	0	0		2026	0	MA	12	Ohio
R5941	014	0	1	31	11	R5941_014_0	R5941	014	0	0		2026	0	MA	12	Ohio
