pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_c_pos_outpt_group_num_id	pbp_c_pos_group_lbl	pbp_c_pos_oupt_bencat_bens	pbp_c_pos_outpt_mc_bencats	pbp_c_pos_outpt_nmc_bencats	pbp_c_pos_outpt_coins_yn	pbp_c_pos_outpt_coins_min_pct	pbp_c_pos_outpt_coins_max_pct	pbp_c_pos_outpt_copay_yn	pbp_c_pos_outpt_copay_min_amt	pbp_c_pos_outpt_copay_max_amt	pbp_c_pos_outpt_maxplan_yn	pbp_c_pos_outpt_maxplan_amt	pbp_c_pos_outpt_maxplan_per	pbp_c_pos_outpt_maxplan_per_d	pbp_c_pos_outpt_deduct_yn	pbp_c_pos_outpt_deduct_amt
H0028	015	0	1	02	01	H0028_015_0	5	1	POS Grp 1 [$0;$5000 Max Amt]	10		16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;	2			1	0.00	0.00	1	5000.00	3		2	
H0028	016	0	1	02	01	H0028_016_0	2	1	POS Grp 1 [$0;$1000 Max Amt]	10		16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c8;16c10;	2			1	0.00	0.00	1	1000.00	3		2	
H0028	016	0	1	02	01	H0028_016_0	2	2	POS Grp 2 [$0; 30% ;$1000 Max Amt]	10		16c4;16c7;	1	30	30	1	0.00	0.00	1	1000.00	3		2	
H0028	054	1	1	02	01	H0028_054_1	3	1	POS Grp 1 [$0;$1000 Max Amt]	10		16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c8;16c10;	2			1	0.00	0.00	1	1000.00	3		2	
H0028	054	1	1	02	01	H0028_054_1	3	2	POS Grp 2 [$0; 30% ;$1000 Max Amt]	10		16c4;16c7;	1	30	30	1	0.00	0.00	1	1000.00	3		2	
H0028	054	2	1	02	01	H0028_054_2	3	1	POS Grp 1 [$0;$1000 Max Amt]	10		16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c8;16c10;	2			1	0.00	0.00	1	1000.00	3		2	
H0028	054	2	1	02	01	H0028_054_2	3	2	POS Grp 2 [$0; 30% ;$1000 Max Amt]	10		16c4;16c7;	1	30	30	1	0.00	0.00	1	1000.00	3		2	
H0028	055	0	1	02	01	H0028_055_0	5	1	POS Grp 1 [$0;$1000 Max Amt]	10		16b1;16b2;16b3;16b4;16b6;16c2;16c3;16c8;16c10;	2			1	0.00	0.00	1	1000.00	3		2	
H0028	055	0	1	02	01	H0028_055_0	5	2	POS Grp 2 [$0; 30% ;$1000 Max Amt]	10		16c4;	1	30	30	1	0.00	0.00	1	1000.00	3		2	
H0028	055	0	1	02	01	H0028_055_0	5	3	POS Grp 3 [$0; 30% - 40% ;$1000 Max Amt]	10		16c1;16c7;	1	30	40	1	0.00	0.00	1	1000.00	3		2	
