pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_oon_cat_id	pbp_d_opt_oon_identifier	pbp_d_opt_oon_type_id	pbp_d_opt_oon_yn	pbp_d_opt_oon_cstshrs_yn	pbp_d_opt_oon_coins_yn	pbp_d_opt_oon_coins_min_pct	pbp_d_opt_oon_coins_max_pct	pbp_d_opt_oon_copay_yn	pbp_d_opt_oon_copay_min_amt	pbp_d_opt_oon_copay_max_amt
H0107	003	0	1	04	01	H0107_003_0	6	16c1	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c10	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c2	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c3	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c4	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c5	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c7	001	2	1	2	1	50	50	2		
H0107	003	0	1	04	01	H0107_003_0	6	16c8	001	2	1	2	1	50	50	2		
H0107	004	0	1	04	01	H0107_004_0	6	16c2	001	2	1	2	1	50	50	2		
H0107	004	0	1	04	01	H0107_004_0	6	16c3	001	2	1	2	1	50	50	2		
H0107	004	0	1	04	01	H0107_004_0	6	16c4	001	2	1	2	1	50	50	2		
H0107	004	0	1	04	01	H0107_004_0	6	16c5	001	2	1	2	1	50	50	2		
H0107	004	0	1	04	01	H0107_004_0	6	16c7	001	2	1	2	1	50	50	2		
H0107	004	0	1	04	01	H0107_004_0	6	16c8	001	2	1	2	1	50	50	2		
H0107	005	0	1	04	01	H0107_005_0	6	16b1	001	2	1	1						
H0107	005	0	1	04	01	H0107_005_0	6	16b2	001	2	1	1						
H0107	005	0	1	04	01	H0107_005_0	6	16b4	001	2	1	1						
H0107	005	0	1	04	01	H0107_005_0	6	16c1	001	2	1	2	1	50	50	2		
H0107	005	0	1	04	01	H0107_005_0	6	16c10	001	2	1	2	1	50	50	2		
H0107	005	0	1	04	01	H0107_005_0	6	16c2	001	2	1	2	1	50	50	2		
H0107	005	0	1	04	01	H0107_005_0	6	16c3	001	2	1	2	1	50	50	2		
