pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_identifier	pbp_d_opt_name	pbp_d_opt_description	pbp_d_amt_opt_premium	pbp_d_opt_maxplan_ben_cov_yn	pbp_d_opt_maxplan_ben_cov_amt	pbp_d_opt_maxplan_per	pbp_d_opt_maxplan_per_d	pbp_d_opt_apply_moop_yn	pbp_d_opt_deduct_yn	pbp_d_opt_deduct_amt	pbp_d_opt_deduct_cats	pbp_d_opt_other_benefits
H0028	017	0	1	01	01	H0028_017_0	3	001	MyOption DEN972	MyOption DEN972	46.40	1	500.00	3		2	2			16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0028	021	0	1	01	01	H0028_021_0	3	001	MyOption DEN972	MyOption DEN972	47.20	1	1500.00	3		2	2			16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0028	053	3	1	01	01	H0028_053_3	3	001	MyOption DEN972	MyOption DEN972	55.10	1	1500.00	3		2	2			16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0107	003	0	1	04	01	H0107_003_0	6	001	Bronze Package	Bronze Package	33.20	1	1000.00	3		2	2			16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0107	004	0	1	04	01	H0107_004_0	6	001	Silver Package	Silver Package	36.00	1	1000.00	3		2	2			16c2;16c3;16c4;16c5;16c7;16c8;
H0107	005	0	1	04	01	H0107_005_0	6	001	Gold Package	Gold Package	33.30	1	1150.00	3		2	2			16b1;16b2;16b4;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;17b1;17b3;17b4;
H0107	010	0	1	04	01	H0107_010_0	6	001	Bronze Package	Bronze Package	54.80	1	1000.00	3		2	2			16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0107	011	0	1	04	01	H0107_011_0	5	001	Silver Package	Silver Package	39.60	1	1000.00	3		2	2			16c2;16c3;16c4;16c5;16c7;16c8;
H0294	002	0	1	04	01	H0294_002_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	004	0	1	04	01	H0294_004_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	014	0	1	04	01	H0294_014_0	3	001	Dental Platinum Rider	Dental Platinum Rider	56.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	015	0	1	04	01	H0294_015_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	016	0	1	04	01	H0294_016_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	017	0	1	04	01	H0294_017_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	032	0	1	04	01	H0294_032_0	4	001	Dental Platinum Rider	Dental Platinum Rider	56.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0294	048	0	1	04	01	H0294_048_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;
H0432	003	0	1	02	01	H0432_003_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;POS;
H0432	004	0	1	02	01	H0432_004_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;POS;
H0432	017	0	1	02	01	H0432_017_0	4	001	Dental Platinum Rider	Dental Platinum Rider	44.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c5;16c7;16c8;16c10;POS;
H0473	005	0	1	04	01	H0473_005_0	3	001	MyOption DEN972	MyOption DEN972	51.90	1	1500.00	3		2	2			16b1;16b2;16b3;16b4;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0504	015	0	1	01	01	H0504_015_0	5	002	Dental PPO	Dental PPO	49.00	1	1500.00	6	Periodicity depends upon whether or not covered services are provided by a participating or non-participating dental provider. See Notes for more details.	2	1	50.00	16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;	16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;
H0504	015	0	1	01	01	H0504_015_0	5	001	Dental HMO	Dental HMO	16.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0504	017	0	1	01	01	H0504_017_0	5	002	Dental PPO	Dental PPO	49.00	1	1500.00	6	Periodicity depends upon whether or not covered services are provided by a participating or non-participating dental provider. See Notes for more details.	2	1	50.00	16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;	16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;
H0504	017	0	1	01	01	H0504_017_0	5	001	Dental HMO	Dental HMO	16.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0504	021	0	1	01	01	H0504_021_0	5	002	Dental PPO	Dental PPO	49.00	1	1500.00	6	Periodicity depends upon whether or not covered services are provided by a participating or non-participating dental provider. See Notes for more details.	2	1	50.00	16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;	16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;
H0504	021	0	1	01	01	H0504_021_0	5	001	Dental HMO	Dental HMO	16.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
H0504	026	0	1	01	01	H0504_026_0	6	002	Dental PPO	Dental PPO	49.00	1	1500.00	6	Periodicity depends upon whether or not covered services are provided by a participating or non-participating dental provider. See Notes for more details.	2	1	50.00	16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;	16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c6;16c7;16c8;16c10;
H0504	026	0	1	01	01	H0504_026_0	6	001	Dental HMO	Dental HMO	16.00	2				2	2			16b1;16b2;16b3;16b4;16b5;16b6;16c1;16c2;16c3;16c4;16c7;16c8;16c10;
