pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b10b_bendesc_yn	pbp_b10b_bendesc_trn	pbp_b10b_bendesc_amo_pal	pbp_b10b_bendesc_lim_pal	pbp_b10b_bendesc_amt_pal	pbp_b10b_bendesc_per_pal	pbp_b10b_bendesc_per_pal_d	pbp_b10b_bendesc_tt_pal	pbp_b10b_bendesc_tt_pal_d	pbp_b10b_bendesc_amt_pal_days	pbp_b10b_bendesc_mt_pal	pbp_b10b_bendesc_mt_pal_d	pbp_b10b_bendesc_amo_al	pbp_b10b_bendesc_lim_al	pbp_b10b_bendesc_amt_al	pbp_b10b_bendesc_per_al	pbp_b10b_bendesc_per_al_d	pbp_b10b_bendesc_tt_al	pbp_b10b_bendesc_tt_al_d	pbp_b10b_bendesc_amt_al_days	pbp_b10b_bendesc_mt_al	pbp_b10b_bendesc_mt_al_d	pbp_b10b_maxplan_yn	pbp_b10b_maxplan_amt	pbp_b10b_maxplan_per	pbp_b10b_maxplan_per_d	pbp_b10b_maxenr_yn	pbp_b10b_maxenr_amt	pbp_b10b_maxenr_per	pbp_b10b_maxenr_per_d	pbp_b10b_coins_yn	pbp_b10b_coins_pct_min	pbp_b10b_coins_pct_max	pbp_b10b_ded_yn	pbp_b10b_ded_amt	pbp_b10b_copay_yn	pbp_b10b_copay_amt_min	pbp_b10b_copay_amt_max	pbp_b10b_auth_yn	pbp_b10b_refer_yn
H0028	007	0	1	01	01	H0028_007_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	015	0	1	02	01	H0028_015_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	019	0	1	01	01	H0028_019_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	029	0	1	01	01	H0028_029_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	030	0	1	01	01	H0028_030_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	032	0	1	01	01	H0028_032_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	035	0	1	01	01	H0028_035_0	4	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	036	0	1	01	01	H0028_036_0	6	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	037	0	1	01	01	H0028_037_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	039	0	1	01	01	H0028_039_0	5	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H0028	039	0	1	01	01	H0028_039_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	041	0	1	01	01	H0028_041_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	042	0	1	01	01	H0028_042_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	043	1	1	01	01	H0028_043_1	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	046	0	1	01	01	H0028_046_0	3	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H0028	046	0	1	01	01	H0028_046_0	3	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	059	0	1	01	01	H0028_059_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	067	0	1	02	01	H0028_067_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	070	0	1	01	01	H0028_070_0	2	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	072	0	1	01	01	H0028_072_0	2	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	076	0	1	01	01	H0028_076_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	077	0	1	01	01	H0028_077_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	078	0	1	01	01	H0028_078_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	079	0	1	01	01	H0028_079_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0028	080	0	1	01	01	H0028_080_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0292	001	0	1	01	01	H0292_001_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0292	002	0	1	01	01	H0292_002_0	4	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0332	004	0	1	02	01	H0332_004_0	7	1	1	1	2	1				1			001001												2				2				2			2		2			2	2
H0363	001	0	1	01	01	H0363_001_0	4	1	1	1	2	2	16	3		1			000011												2				2				2			2		2			2	2
H0473	003	0	1	04	01	H0473_003_0	3	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H0473	004	0	1	04	01	H0473_004_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H0523	074	0	1	02	01	H0523_074_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0523	801	0	1	01	01	H0523_801_0	1	1	1	1	2	1				1			011010												2				2				2			2		2			2	2
H0523	801	0	1	01	01	H0523_801_0	1	2	1	1	2	1				1			011010												2				2				2			2		2			2	2
H0523	805	0	1	01	01	H0523_805_0	1	2	1	1	2	1				1			011010												2				2				2			2		2			2	2
H0523	805	0	1	01	01	H0523_805_0	1	1	1	1	2	1				1			011010												2				2				2			2		2			2	2
H0628	001	0	1	02	01	H0628_001_0	4	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	005	0	1	02	01	H0628_005_0	3	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	012	0	1	01	01	H0628_012_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	013	0	1	01	01	H0628_013_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	017	0	1	02	01	H0628_017_0	3	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	031	0	1	01	01	H0628_031_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	032	0	1	01	01	H0628_032_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	033	0	1	01	01	H0628_033_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	034	0	1	01	01	H0628_034_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	035	0	1	01	01	H0628_035_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	036	0	1	01	01	H0628_036_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	037	0	1	01	01	H0628_037_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	038	0	1	01	01	H0628_038_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	039	0	1	01	01	H0628_039_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	040	0	1	01	01	H0628_040_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	041	0	1	01	01	H0628_041_0	2	1	1	2											2	1				2			011111		2				2				2			2		1	0.00	0.00	2	2
H0628	801	0	1	01	01	H0628_801_0	2	1	1	1	2	1				1			011010												2				2				2			2		2			2	2
H0628	801	0	1	01	01	H0628_801_0	2	2	1	1	2	1				1			011010												2				2				2			2		2			2	2
H0783	004	0	1	01	01	H0783_004_0	2	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H0963	001	0	1	01	01	H0963_001_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1019	001	0	1	02	01	H1019_001_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	001	0	1	02	01	H1019_001_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	006	0	1	01	01	H1019_006_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	006	0	1	01	01	H1019_006_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	043	0	1	02	01	H1019_043_0	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	057	0	1	02	01	H1019_057_0	5	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	065	0	1	01	01	H1019_065_0	3	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	094	0	1	01	01	H1019_094_0	3	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	103	1	1	01	01	H1019_103_1	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	103	1	1	01	01	H1019_103_1	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	103	2	1	01	01	H1019_103_2	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	103	2	1	01	01	H1019_103_2	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	104	1	1	01	01	H1019_104_1	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	104	2	1	01	01	H1019_104_2	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	109	0	1	01	01	H1019_109_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	113	0	1	01	01	H1019_113_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	113	0	1	01	01	H1019_113_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	118	0	1	01	01	H1019_118_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	121	0	1	01	01	H1019_121_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	123	0	1	01	01	H1019_123_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	124	0	1	02	01	H1019_124_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	124	0	1	02	01	H1019_124_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	130	0	1	02	01	H1019_130_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	130	0	1	02	01	H1019_130_0	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	132	0	1	01	01	H1019_132_0	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	134	0	1	01	01	H1019_134_0	3	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	135	0	1	02	01	H1019_135_0	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	136	0	1	01	01	H1019_136_0	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	138	0	1	01	01	H1019_138_0	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	139	0	1	01	01	H1019_139_0	3	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	144	0	1	01	01	H1019_144_0	6	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	147	1	1	01	01	H1019_147_1	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	147	2	1	01	01	H1019_147_2	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	147	2	1	01	01	H1019_147_2	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	148	0	1	01	01	H1019_148_0	5	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	149	0	1	01	01	H1019_149_0	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	150	0	1	01	01	H1019_150_0	6	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	151	1	1	01	01	H1019_151_1	4	1	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	151	2	1	01	01	H1019_151_2	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1019	151	2	1	01	01	H1019_151_2	4	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1019	154	0	1	01	01	H1019_154_0	5	2	1	1	2	1				1			111011	Car, Wheelchair Access Vehicle, Bus											2				2				2			2		2			2	2
H1036	025	0	1	01	01	H1036_025_0	4	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	044	0	1	01	01	H1036_044_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	054	0	1	01	01	H1036_054_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	054	0	1	01	01	H1036_054_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	062	0	1	01	01	H1036_062_0	3	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	062	0	1	01	01	H1036_062_0	3	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	065	0	1	01	01	H1036_065_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	065	0	1	01	01	H1036_065_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	068	0	1	01	01	H1036_068_0	2	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	074	0	1	01	01	H1036_074_0	2	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	077	0	1	01	01	H1036_077_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	102	0	1	01	01	H1036_102_0	5	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	119	0	1	01	01	H1036_119_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	121	0	1	01	01	H1036_121_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	146	0	1	01	01	H1036_146_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	157	0	1	01	01	H1036_157_0	4	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	209	0	1	01	01	H1036_209_0	5	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	210	0	1	01	01	H1036_210_0	5	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
