pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b13a_bendesc_yn	pbp_b13a_bendesc_ehc	pbp_b13a_bendesc_amo	pbp_b13a_bendesc_lim	pbp_b13a_bendesc_numv	pbp_b13a_bendesc_per	pbp_b13a_bendesc_per_d	pbp_b13a_maxplan_yn	pbp_b13a_maxplan_amt	pbp_b13a_maxplan_per	pbp_b13a_maxplan_per_d	pbp_b13a_maxenr_yn	pbp_b13a_maxenr_amt	pbp_b13a_maxenr_per	pbp_b13a_maxenr_per_d	pbp_b13a_coins_yn	pbp_b13a_coins_pct_min	pbp_b13a_coins_pct_max	pbp_b13a_ded_yn	pbp_b13a_ded_amt	pbp_b13a_copay_yn	pbp_b13a_copay_amt_min	pbp_b13a_copay_amt_max	pbp_b13a_auth_yn	pbp_b13a_refer_yn	pbp_b13b_bendesc_otc	pbp_b13b_bendesc_amo	pbp_b13b_maxplan_yn	pbp_b13b_maxplan_amt	pbp_b13b_otc_maxplan_per	pbp_b13b_maxplan_prd_yn	pbp_b13b_maxenr_yn	pbp_b13b_maxenr_amt	pbp_b13b_maxenr_per	pbp_b13b_maxenr_per_d	pbp_b13b_nrt_yn	pbp_b13b_nrt_attestation	pbp_b13b_naloxone_yn	pbp_b13b_coins_yn	pbp_b13b_coins_pct_min	pbp_b13b_coins_pct_max	pbp_b13b_ded_yn	pbp_b13b_ded_amt	pbp_b13b_copay_yn	pbp_b13b_copay_amt_min	pbp_b13b_copay_amt_max	pbp_b13b_cms_otc_list_yn	pbp_b13b_mode	pbp_b13b_mode_desc	pbp_b13b_auth_yn	pbp_b13c_bendesc_service	pbp_b13c_bendesc_amo	pbp_b13c_meal_type_chk	pbp_b13c_maxplan_yn	pbp_b13c_maxplan_amt	pbp_b13c_maxplan_per	pbp_b13c_maxplan_per_d	pbp_b13c_maxenr_yn	pbp_b13c_maxenr_amt	pbp_b13c_maxenr_per	pbp_b13c_maxenr_per_d	pbp_b13c_coins_yn	pbp_b13c_coins_pct_min	pbp_b13c_coins_pct_max	pbp_b13c_ded_yn	pbp_b13c_ded_amt	pbp_b13c_copay_yn	pbp_b13c_copay_amt_min	pbp_b13c_copay_amt_max	pbp_b13c_auth_yn	pbp_b13c_refer_yn	pbp_b13d_bendesc_service	pbp_b13d_bendesc_amo	pbp_b13d_maxplan_yn	pbp_b13d_maxplan_amt	pbp_b13d_maxplan_per	pbp_b13d_maxplan_per_d	pbp_b13d_maxenr_yn	pbp_b13d_maxenr_amt	pbp_b13d_maxenr_per	pbp_b13d_maxenr_per_d	pbp_b13d_coins_yn	pbp_b13d_coins_pct_min	pbp_b13d_coins_pct_max	pbp_b13d_ded_yn	pbp_b13d_ded_amt	pbp_b13d_copay_yn	pbp_b13d_copay_amt_min	pbp_b13d_copay_amt_max	pbp_b13d_auth_yn	pbp_b13d_refer_yn	pbp_b13e_bendesc_service	pbp_b13e_bendesc_amo	pbp_b13e_maxplan_yn	pbp_b13e_maxplan_amt	pbp_b13e_maxplan_per	pbp_b13e_maxplan_per_d	pbp_b13e_maxenr_yn	pbp_b13e_maxenr_amt	pbp_b13e_maxenr_per	pbp_b13e_maxenr_per_d	pbp_b13e_coins_yn	pbp_b13e_coins_pct_min	pbp_b13e_coins_pct_max	pbp_b13e_ded_yn	pbp_b13e_ded_amt	pbp_b13e_copay_yn	pbp_b13e_copay_amt_min	pbp_b13e_copay_amt_max	pbp_b13e_auth_yn	pbp_b13e_refer_yn	pbp_b13f_bendesc_service	pbp_b13f_bendesc_amo	pbp_b13f_maxplan_yn	pbp_b13f_maxplan_amt	pbp_b13f_maxplan_per	pbp_b13f_maxplan_per_d	pbp_b13f_maxenr_yn	pbp_b13f_maxenr_amt	pbp_b13f_maxenr_per	pbp_b13f_maxenr_per_d	pbp_b13f_coins_yn	pbp_b13f_coins_pct_min	pbp_b13f_coins_pct_max	pbp_b13f_ded_yn	pbp_b13f_ded_amt	pbp_b13f_copay_yn	pbp_b13f_copay_amt_min	pbp_b13f_copay_amt_max	pbp_b13f_auth_yn	pbp_b13f_refer_yn
H0028	039	0	1	01	01	H0028_039_0	5	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H0028	046	0	1	01	01	H0028_046_0	3	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H0104	012	0	1	04	01	H0104_012_0	6	1																																																			1	2	010	2				2				2			2		2			2	2																																																												
H0104	014	0	1	04	01	H0104_014_0	7	1																																																			1	2	010	2				2				2			2		2			2	2																																																												
H0104	015	0	1	04	01	H0104_015_0	6	1																																																			1	2	010	2				2				2			2		2			2	2																																																												
H0473	003	0	1	04	01	H0473_003_0	3	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H0523	074	0	1	02	01	H0523_074_0	2	1																										1	2	2				2				1	1	1	2			2		1	0.00	0.00	1	00010		2																																																																																	
H0523	801	0	1	01	01	H0523_801_0	1	1	1	1	2	1				2				2				2			2		2			2	2	1	2	2				2				1	1	1	2			2		2			2	11000	Retail Store	2	1	2	111	2				2				2			2		2			2	2																																																												
H0523	801	0	1	01	01	H0523_801_0	1	2	1	1	2	1				2				2				2			2		2			2	2	1	2	2				2				1	1	1	2			2		2			2	11000	Retail store	2	1	2	111	2				2				2			2		2			2	2	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																								
H0523	805	0	1	01	01	H0523_805_0	1	1	1	1	2	1				2				2				2			2		2			2	2	1	2	2				2				1	1	1	2			2		2			2	11000	Retail Store	2	1	2	111	2				2				2			2		2			2	2																																																												
H0523	805	0	1	01	01	H0523_805_0	1	2	1	1	2	1				2				2				2			2		2			2	2	1	2	2				2				1	1	1	2			2		2			2	11000	Retail store	2	1	2	111	2				2				2			2		2			2	2	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																								
H0524	008	0	1	01	01	H0524_008_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	032	0	1	01	01	H0524_032_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	033	0	1	01	01	H0524_033_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	039	0	1	01	01	H0524_039_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	059	0	1	01	01	H0524_059_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	060	0	1	01	01	H0524_060_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	061	0	1	01	01	H0524_061_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	062	0	1	01	01	H0524_062_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0524	063	0	1	01	01	H0524_063_0	5	1																																																																																																																Advanced Care At Home	2	2				2				2			2		1	0.00	0.00	2	1
H0571	001	0	1	01	01	H0571_001_0	9	1																										1	2	2				2				2		2	2			2		2			1	00010		2																																																																																	
H0571	005	0	1	01	01	H0571_005_0	9	1																										1	2	2				2				2		2	2			2		2			1	00010		2																																																																																	
H0571	007	0	1	01	01	H0571_007_0	10	1																										1	2	2				2				2		2	2			2		2			2	00010		2																																																																																	
H0571	010	0	1	01	01	H0571_010_0	9	1																										1	2	2				2				2		2	2			2		2			1	00010		2																																																																																	
H0571	011	0	1	01	01	H0571_011_0	10	1																										1	2	2				2				2		2	2			2		2			2	00010		2																																																																																	
H0628	001	0	1	02	01	H0628_001_0	4	1																										1	2	2				2				1	1	1	2			2		1	0.00	0.00	1	00010		2																																																																																	
H0628	005	0	1	02	01	H0628_005_0	3	1																										1	2	2				2				1	1	1	2			2		1	0.00	0.00	1	00010		2																																																																																	
H0628	012	0	1	01	01	H0628_012_0	2	1																										1	2	2				2				1	1	1	2			2		1	0.00	0.00	1	00010		2																																																																																	
