pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b13i_bendesc_oth	pbp_b13i_o1_bendesc_service	pbp_b13i_o1_bendesc_amo	pbp_b13i_o1_maxplan_yn	pbp_b13i_o1_maxplan_amt	pbp_b13i_o1_maxplan_per	pbp_b13i_o1_maxplan_per_d	pbp_b13i_o1_maxenr_yn	pbp_b13i_o1_maxenr_amt	pbp_b13i_o1_maxenr_per	pbp_b13i_o1_maxenr_per_d	pbp_b13i_o1_coins_yn	pbp_b13i_o1_coins_pct_min	pbp_b13i_o1_coins_pct_max	pbp_b13i_o1_ded_yn	pbp_b13i_o1_ded_amt	pbp_b13i_o1_copay_yn	pbp_b13i_o1_copay_amt_min	pbp_b13i_o1_copay_amt_max	pbp_b13i_o1_auth_yn	pbp_b13i_o1_refer_yn	pbp_b13i_o2_bendesc_service	pbp_b13i_o2_bendesc_amo	pbp_b13i_o2_maxplan_yn	pbp_b13i_o2_maxplan_amt	pbp_b13i_o2_maxplan_per	pbp_b13i_o2_maxplan_per_d	pbp_b13i_o2_maxenr_yn	pbp_b13i_o2_maxenr_amt	pbp_b13i_o2_maxenr_per	pbp_b13i_o2_maxenr_per_d	pbp_b13i_o2_coins_yn	pbp_b13i_o2_coins_pct_min	pbp_b13i_o2_coins_pct_max	pbp_b13i_o2_ded_yn	pbp_b13i_o2_ded_amt	pbp_b13i_o2_copay_yn	pbp_b13i_o2_copay_amt_min	pbp_b13i_o2_copay_amt_max	pbp_b13i_o2_auth_yn	pbp_b13i_o2_refer_yn	pbp_b13i_o3_bendesc_service	pbp_b13i_o3_bendesc_amo	pbp_b13i_o3_maxplan_yn	pbp_b13i_o3_maxplan_amt	pbp_b13i_o3_maxplan_per	pbp_b13i_o3_maxplan_per_d	pbp_b13i_o3_maxenr_yn	pbp_b13i_o3_maxenr_amt	pbp_b13i_o3_maxenr_per	pbp_b13i_o3_maxenr_per_d	pbp_b13i_o3_coins_yn	pbp_b13i_o3_coins_pct_min	pbp_b13i_o3_coins_pct_max	pbp_b13i_o3_ded_yn	pbp_b13i_o3_ded_amt	pbp_b13i_o3_copay_yn	pbp_b13i_o3_copay_amt_min	pbp_b13i_o3_copay_amt_max	pbp_b13i_o3_auth_yn	pbp_b13i_o3_refer_yn	pbp_b13i_o4_bendesc_service	pbp_b13i_o4_bendesc_amo	pbp_b13i_o4_maxplan_yn	pbp_b13i_o4_maxplan_amt	pbp_b13i_o4_maxplan_per	pbp_b13i_o4_maxplan_per_d	pbp_b13i_o4_maxenr_yn	pbp_b13i_o4_maxenr_amt	pbp_b13i_o4_maxenr_per	pbp_b13i_o4_maxenr_per_d	pbp_b13i_o4_coins_yn	pbp_b13i_o4_coins_pct_min	pbp_b13i_o4_coins_pct_max	pbp_b13i_o4_ded_yn	pbp_b13i_o4_ded_amt	pbp_b13i_o4_copay_yn	pbp_b13i_o4_copay_amt_min	pbp_b13i_o4_copay_amt_max	pbp_b13i_o4_auth_yn	pbp_b13i_o4_refer_yn	pbp_b13i_o5_bendesc_service	pbp_b13i_o5_bendesc_amo	pbp_b13i_o5_maxplan_yn	pbp_b13i_o5_maxplan_amt	pbp_b13i_o5_maxplan_per	pbp_b13i_o5_maxplan_per_d	pbp_b13i_o5_maxenr_yn	pbp_b13i_o5_maxenr_amt	pbp_b13i_o5_maxenr_per	pbp_b13i_o5_maxenr_per_d	pbp_b13i_o5_coins_yn	pbp_b13i_o5_coins_pct_min	pbp_b13i_o5_coins_pct_max	pbp_b13i_o5_ded_yn	pbp_b13i_o5_ded_amt	pbp_b13i_o5_copay_yn	pbp_b13i_o5_copay_amt_min	pbp_b13i_o5_copay_amt_max	pbp_b13i_o5_auth_yn	pbp_b13i_o5_refer_yn
H0363	001	0	1	01	01	H0363_001_0	4	1	01100	Personal Hygiene Items	2	2				2				2			2		2			2	1	Memory Support Items	2	2				2				2			2		2			2	1																																																												
H0423	001	0	1	01	01	H0423_001_0	7	1	01000	Pet Supplies	2	1	0.00	5		2				2			2		2			2	2																																																																																
H0423	007	0	1	01	01	H0423_007_0	7	1	01000	Pet Supplies	2	1	0.00	5		2				2			2		2			2	2																																																																																
H0523	074	0	1	02	01	H0523_074_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0523	801	0	1	01	01	H0523_801_0	1	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H0523	805	0	1	01	01	H0523_805_0	1	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H0628	001	0	1	02	01	H0628_001_0	4	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	005	0	1	02	01	H0628_005_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	012	0	1	01	01	H0628_012_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	013	0	1	01	01	H0628_013_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	017	0	1	02	01	H0628_017_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	031	0	1	01	01	H0628_031_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	032	0	1	01	01	H0628_032_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	033	0	1	01	01	H0628_033_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	034	0	1	01	01	H0628_034_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	035	0	1	01	01	H0628_035_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	036	0	1	01	01	H0628_036_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	037	0	1	01	01	H0628_037_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	038	0	1	01	01	H0628_038_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	039	0	1	01	01	H0628_039_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	040	0	1	01	01	H0628_040_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	041	0	1	01	01	H0628_041_0	2	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H0628	801	0	1	01	01	H0628_801_0	2	1	01000	Non-Medicare (Other)	2	2				2				2			2		2			2	2																																																																																
H0982	002	0	1	01	01	H0982_002_0	13	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	007	0	1	01	01	H0982_007_0	12	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	008	0	1	01	01	H0982_008_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	009	0	1	01	01	H0982_009_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	010	0	1	01	01	H0982_010_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	012	0	1	01	01	H0982_012_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
H0982	013	0	1	01	01	H0982_013_0	10	1	01000	Pet Supplies	2	2				2				2			2		2			1	2																																																																																
