pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b14c_bendesc_yn	pbp_b14c_bendesc_ehc	pbp_b14c_bendesc_amo_hec	pbp_b14c_bendesc_amo_ntb	pbp_b14c_bendesc_lim_ntb	pbp_b14c_bendesc_num_ntb	pbp_b14c_bendesc_dur_ntb	pbp_b14c_bendesc_amo_sc	pbp_b14c_bendesc_visit_num_sc	pbp_b14c_bendesc_amo_mhc	pbp_b14c_bendesc_typ_mhc	pbp_b14c_bendesc_amo_edm	pbp_b14c_bendesc_amo_tm	pbp_b14c_bendesc_amo_rat	pbp_b14c_rat_bendesc_ehc	pbp_b14c_bendesc_amo_bsd	pbp_b14c_bendesc_amo_cs	pbp_b14c_bendesc_lim_cs	pbp_b14c_bendesc_num_cs	pbp_b14c_bendesc_dur_cs	pbp_b14c_bendesc_dur_num_cs	pbp_b14c_bendesc_amo_isa	pbp_b14c_bendesc_amo_prs	pbp_b14c_bendesc_amo_mnt	pbp_b14c_mnt_mcd_yn	pbp_b14c_mnt_mcd_unit	pbp_b14c_mnt_mcd_unit_d	pbp_b14c_mnt_mcd_num	pbp_b14c_mnt_nmcd_yn	pbp_b14c_mnt_nmcd_unit	pbp_b14c_mnt_nmcd_num	pbp_b14c_bendesc_amo_imr	pbp_b14c_bendesc_amo_rp	pbp_b14c_rp_bendesc_ehc	pbp_b14c_rp_bendesc_other	pbp_b14c_bendesc_amo_wig	pbp_b14c_bendesc_amo_wm	pbp_b14c_bendesc_amo_at	pbp_b14c_bendesc_lim_at	pbp_b14c_at_visits	pbp_b14c_bendesc_thp_msg	pbp_b14c_thp_msg_unlimited	pbp_b14c_thp_msg_num_amt	pbp_b14c_thp_msg_period	pbp_b14c_thp_msg_period_d	pbp_b14c_bendesc_adcs	pbp_b14c_bendesc_hbpc	pbp_b14c_bendesc_ihss	pbp_b14c_bendesc_sce	pbp_b14c_sce_type_chk	pbp_b14c_sce_note	pbp_b14c_maxplan_yn	pbp_b14c_maxplan_ehc	pbp_b14c_maxplan_amt_hec	pbp_b14c_maxplan_per_hec	pbp_b14c_maxplan_per_hec_d	pbp_b14c_maxplan_amt_ntb	pbp_b14c_maxplan_per_ntb	pbp_b14c_maxplan_per_ntb_d	pbp_b14c_maxplan_amt_sc	pbp_b14c_maxplan_per_sc	pbp_b14c_maxplan_per_sc_d	pbp_b14c_maxplan_amt_mhc	pbp_b14c_maxplan_per_mhc	pbp_b14c_maxplan_per_mhc_d	pbp_b14c_maxplan_amt_edm	pbp_b14c_maxplan_per_edm	pbp_b14c_maxplan_per_edm_d	pbp_b14c_maxplan_amt_tm	pbp_b14c_maxplan_per_tm	pbp_b14c_maxplan_per_tm_d	pbp_b14c_maxplan_amt_rat	pbp_b14c_maxplan_per_rat	pbp_b14c_maxplan_per_rat_d	pbp_b14c_maxplan_amt_bsd	pbp_b14c_maxplan_per_bsd	pbp_b14c_maxplan_per_bsd_d	pbp_b14c_maxplan_amt_cs	pbp_b14c_maxplan_per_cs	pbp_b14c_maxplan_per_cs_d	pbp_b14c_maxplan_amt_isa	pbp_b14c_maxplan_per_isa	pbp_b14c_maxplan_per_isa_d	pbp_b14c_maxplan_amt_prs	pbp_b14c_maxplan_per_prs	pbp_b14c_maxplan_per_prs_d	pbp_b14c_maxplan_amt_mnt	pbp_b14c_maxplan_per_mnt	pbp_b14c_maxplan_per_mnt_d	pbp_b14c_maxplan_amt_imr	pbp_b14c_maxplan_per_imr	pbp_b14c_maxplan_per_imr_d	pbp_b14c_maxplan_amt_rp	pbp_b14c_maxplan_per_rp	pbp_b14c_maxplan_per_rp_d	pbp_b14c_maxplan_amt_wig	pbp_b14c_maxplan_per_wig	pbp_b14c_maxplan_per_wig_d	pbp_b14c_maxplan_amt_wm	pbp_b14c_maxplan_per_wm	pbp_b14c_maxplan_per_wm_d	pbp_b14c_maxplan_amt_at	pbp_b14c_maxplan_per_at	pbp_b14c_maxplan_per_at_d	pbp_b14c_maxplan_amt_thms	pbp_b14c_maxplan_per_thms	pbp_b14c_maxplan_per_thms_d	pbp_b14c_maxplan_amt_adcs	pbp_b14c_maxplan_per_adcs	pbp_b14c_maxplan_per_adcs_d	pbp_b14c_maxplan_amt_hbpc	pbp_b14c_maxplan_per_hbpc	pbp_b14c_maxplan_per_hbpc_d	pbp_b14c_maxplan_amt_ihss	pbp_b14c_maxplan_per_ihss	pbp_b14c_maxplan_per_ihss_d	pbp_b14c_maxplan_amt_sce	pbp_b14c_maxplan_per_sce	pbp_b14c_maxplan_per_sce_d	pbp_b14c_maxenr_yn	pbp_b14c_maxenr_ehc	pbp_b14c_maxenr_amt_hec	pbp_b14c_maxenr_per_hec	pbp_b14c_maxenr_per_hec_d	pbp_b14c_maxenr_amt_ntb	pbp_b14c_maxenr_per_ntb	pbp_b14c_maxenr_per_ntb_d	pbp_b14c_maxenr_amt_sc	pbp_b14c_maxenr_per_sc	pbp_b14c_maxenr_per_sc_d	pbp_b14c_maxenr_amt_mhc	pbp_b14c_maxenr_per_mhc	pbp_b14c_maxenr_per_mhc_d	pbp_b14c_maxenr_amt_edm	pbp_b14c_maxenr_per_edm	pbp_b14c_maxenr_per_edm_d	pbp_b14c_maxenr_amt_tm	pbp_b14c_maxenr_per_tm	pbp_b14c_maxenr_per_tm_d	pbp_b14c_maxenr_amt_rat	pbp_b14c_maxenr_per_rat	pbp_b14c_maxenr_per_rat_d	pbp_b14c_maxenr_amt_bsd	pbp_b14c_maxenr_per_bsd	pbp_b14c_maxenr_per_bsd_d	pbp_b14c_maxenr_amt_cs	pbp_b14c_maxenr_per_cs	pbp_b14c_maxenr_per_cs_d	pbp_b14c_maxenr_amt_isa	pbp_b14c_maxenr_per_isa	pbp_b14c_maxenr_per_isa_d	pbp_b14c_maxenr_amt_prs	pbp_b14c_maxenr_per_prs	pbp_b14c_maxenr_per_prs_d	pbp_b14c_maxenr_amt_mnt	pbp_b14c_maxenr_per_mnt	pbp_b14c_maxenr_per_mnt_d	pbp_b14c_maxenr_amt_imr	pbp_b14c_maxenr_per_imr	pbp_b14c_maxenr_per_imr_d	pbp_b14c_maxenr_amt_rp	pbp_b14c_maxenr_per_rp	pbp_b14c_maxenr_per_rp_d	pbp_b14c_maxenr_amt_wig	pbp_b14c_maxenr_per_wig	pbp_b14c_maxenr_per_wig_d	pbp_b14c_maxenr_amt_wm	pbp_b14c_maxenr_per_wm	pbp_b14c_maxenr_per_wm_d	pbp_b14c_maxenr_amt_at	pbp_b14c_maxenr_per_at	pbp_b14c_maxenr_per_at_d	pbp_b14c_maxenr_amt_thmg	pbp_b14c_maxenr_per_thmg	pbp_b14c_maxenr_per_thmg_d	pbp_b14c_maxenr_amt_adcs	pbp_b14c_maxenr_per_adcs	pbp_b14c_maxenr_per_adcs_d	pbp_b14c_maxenr_amt_hbpc	pbp_b14c_maxenr_per_hbpc	pbp_b14c_maxenr_per_hbpc_d	pbp_b14c_maxenr_amt_ihss	pbp_b14c_maxenr_per_ihss	pbp_b14c_maxenr_per_ihss_d	pbp_b14c_maxenr_amt_sce	pbp_b14c_maxenr_per_sce	pbp_b14c_maxenr_per_sce_d	pbp_b14c_coins_yn	pbp_b14c_coins_ehc	pbp_b14c_coins_pct_min_hec	pbp_b14c_coins_pct_max_hec	pbp_b14c_coins_pct_min_ntb	pbp_b14c_coins_pct_max_ntb	pbp_b14c_coins_pct_min_sc	pbp_b14c_coins_pct_max_sc	pbp_b14c_coins_pct_min_mhc	pbp_b14c_coins_pct_max_mhc	pbp_b14c_coins_pct_min_edm	pbp_b14c_coins_pct_max_edm	pbp_b14c_coins_pct_min_tm	pbp_b14c_coins_pct_max_tm	pbp_b14c_coins_pct_min_rat_wp	pbp_b14c_coins_pct_max_rat_wp	pbp_b14c_coins_pct_min_rat_nh	pbp_b14c_coins_pct_max_rat_nh	pbp_b14c_coins_pct_min_bsd	pbp_b14c_coins_pct_max_bsd	pbp_b14c_coins_pct_min_cs	pbp_b14c_coins_pct_max_cs	pbp_b14c_coins_pct_min_isa	pbp_b14c_coins_pct_max_isa	pbp_b14c_coins_pct_min_prs	pbp_b14c_coins_pct_max_prs	pbp_b14c_coins_pct_min_mnt	pbp_b14c_coins_pct_max_mnt	pbp_b14c_coins_pct_min_imr	pbp_b14c_coins_pct_max_imr	pbp_b14c_coins_pct_min_rp	pbp_b14c_coins_pct_max_rp	pbp_b14c_coins_pct_min_wig	pbp_b14c_coins_pct_max_wig	pbp_b14c_coins_pct_min_wm	pbp_b14c_coins_pct_max_wm	pbp_b14c_coins_pct_min_at	pbp_b14c_coins_pct_max_at	pbp_b14c_coins_pct_min_thmg	pbp_b14c_coins_pct_max_thmg	pbp_b14c_coins_pct_min_adcs	pbp_b14c_coins_pct_max_adcs	pbp_b14c_coins_pct_min_hbpc	pbp_b14c_coins_pct_max_hbpc	pbp_b14c_coins_pct_min_ihss	pbp_b14c_coins_pct_max_ihss	pbp_b14c_coins_pct_min_sce	pbp_b14c_coins_pct_max_sce	pbp_b14c_ded_yn	pbp_b14c_ded_amt	pbp_b14c_copay_yn	pbp_b14c_copay_ehc	pbp_b14c_copay_hec_min_amt	pbp_b14c_copay_hec_max_amt	pbp_b14c_copay_ntb_min_amt	pbp_b14c_copay_ntb_max_amt	pbp_b14c_copay_sc_min_amt	pbp_b14c_copay_sc_max_amt	pbp_b14c_copay_mhc_min_amt	pbp_b14c_copay_mhc_max_amt	pbp_b14c_copay_edm_min_amt	pbp_b14c_copay_edm_max_amt	pbp_b14c_copay_tm_min_amt	pbp_b14c_copay_tm_max_amt	pbp_b14c_copay_rat_wp_min_amt	pbp_b14c_copay_rat_wp_max_amt	pbp_b14c_copay_rat_nh_min_amt	pbp_b14c_copay_rat_nh_max_amt	pbp_b14c_copay_bsd_min_amt	pbp_b14c_copay_bsd_max_amt	pbp_b14c_copay_cs_min_amt	pbp_b14c_copay_cs_max_amt	pbp_b14c_copay_isa_min_amt	pbp_b14c_copay_isa_max_amt	pbp_b14c_copay_prs_min_amt	pbp_b14c_copay_prs_max_amt	pbp_b14c_copay_mnt_min_amt	pbp_b14c_copay_mnt_max_amt	pbp_b14c_copay_imr_min_amt	pbp_b14c_copay_imr_max_amt	pbp_b14c_copay_rp_min_amt	pbp_b14c_copay_rp_max_amt	pbp_b14c_copay_wig_min_amt	pbp_b14c_copay_wig_max_amt	pbp_b14c_copay_wm_min_amt	pbp_b14c_copay_wm_max_amt	pbp_b14c_copay_at_min_amt	pbp_b14c_copay_at_max_amt	pbp_b14c_copay_min_amt_thmg	pbp_b14c_copay_max_amt_thmg	pbp_b14c_copay_min_amt_adcs	pbp_b14c_copay_max_amt_adcs	pbp_b14c_copay_min_amt_hbpc	pbp_b14c_copay_max_amt_hbpc	pbp_b14c_copay_min_amt_ihss	pbp_b14c_copay_max_amt_ihss	pbp_b14c_copay_min_amt_sce	pbp_b14c_copay_max_amt_sce	pbp_b14c_auth_yn	pbp_b14c_refer_yn
H0028	007	0	1	01	01	H0028_007_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	015	0	1	02	01	H0028_015_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	032	0	1	01	01	H0028_032_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	036	0	1	01	01	H0028_036_0	6	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	039	0	1	01	01	H0028_039_0	5	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H0028	046	0	1	01	01	H0028_046_0	3	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H0028	051	0	1	01	01	H0028_051_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	055	0	1	02	01	H0028_055_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	056	0	1	02	01	H0028_056_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	060	0	1	01	01	H0028_060_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	067	0	1	02	01	H0028_067_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	076	0	1	01	01	H0028_076_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	077	0	1	01	01	H0028_077_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	078	0	1	01	01	H0028_078_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	079	0	1	01	01	H0028_079_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0028	080	0	1	01	01	H0028_080_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H0029	007	0	1	02	01	H0029_007_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0029	008	0	1	02	01	H0029_008_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0029	010	0	1	02	01	H0029_010_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0062	011	0	1	01	01	H0062_011_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0062	012	0	1	01	01	H0062_012_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0074	004	0	1	04	01	H0074_004_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	004	0	1	01	01	H0174_004_0	6	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	006	0	1	01	01	H0174_006_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	022	0	1	01	01	H0174_022_0	6	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	023	0	1	01	01	H0174_023_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	024	0	1	01	01	H0174_024_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	025	0	1	01	01	H0174_025_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0174	026	0	1	01	01	H0174_026_0	6	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0351	066	0	1	02	01	H0351_066_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0351	068	0	1	02	01	H0351_068_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0363	001	0	1	01	01	H0363_001_0	4	1	1	14c17;																																				2	2	36												2																																																																				2																																																																				2																																																2		2																																																2	1
H0473	003	0	1	04	01	H0473_003_0	3	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H0523	801	0	1	01	01	H0523_801_0	1	1	1	14c3;14c5;14c6;14c8;14c11;14c16;14c17;						2	9999			2	2			2							2														2	2	1													2																																																																				2																																																																				2																																																2		2																																																2	2
H0523	801	0	1	01	01	H0523_801_0	1	2	1	14c1;14c2;14c3;14c4;14c5;14c6;14c7;14c8;14c9;14c10;14c11;14c12;14c13;14c14;14c15;14c16;14c17;14c18;14c19;14c20;14c21;14c22;	2	2	1		3	2	9999	2	111	2	2	2	11	2	2	1		3	999	2	2	2	1	2		999	1	2	999	2	2	1111	At plan sponsor discretion	2	2	2	1		2	1				2	2	2	2	100	At plan sponsor discretion	2																																																																				2																																																																				2																																																2		2																																																2	2
H0523	805	0	1	01	01	H0523_805_0	1	1	1	14c3;14c5;14c6;14c8;14c11;14c16;14c17;						2	9999			2	2			2							2														2	2	1													2																																																																				2																																																																				2																																																2		2																																																2	2
H0523	805	0	1	01	01	H0523_805_0	1	2	1	14c1;14c2;14c3;14c4;14c5;14c6;14c7;14c8;14c9;14c10;14c11;14c12;14c13;14c14;14c15;14c16;14c17;14c18;14c19;14c20;14c21;14c22;	2	2	1		3	2	9999	2	111	2	2	2	11	2	2	1		3	999	2	2	2	1	2		999	1	2	999	2	2	1111	At plan sponsor discretion	2	2	2	1		2	1				2	2	2	2	100	At plan sponsor discretion	2																																																																				2																																																																				2																																																2		2																																																2	2
H0628	801	0	1	01	01	H0628_801_0	2	1	1	14c3;14c5;14c6;14c8;14c11;14c16;14c17;						2	9999			2	2			2							2														2	2	1													2																																																																				2																																																																				2																																																2		2																																																2	2
H0628	801	0	1	01	01	H0628_801_0	2	2	1	14c1;14c2;14c3;14c4;14c5;14c6;14c7;14c8;14c9;14c10;14c11;14c12;14c13;14c14;14c15;14c16;14c17;14c18;14c19;14c20;14c21;14c22;	2	2	1		3	2	9999	2	111	2	2	2	11	2	2	1		3	999	2	2	2	1	2		999	1	2	999	2	2	1111	At plan sponsor discretion	2	2	2	1		2	1				2	2	2	2	100	At plan sponsor discretion	2																																																																				2																																																																				2																																																2		2																																																2	2
H0712	005	0	1	02	01	H0712_005_0	9	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0712	029	0	1	01	01	H0712_029_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0783	004	0	1	01	01	H0783_004_0	2	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H0908	001	0	1	02	01	H0908_001_0	9	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0908	006	0	1	02	01	H0908_006_0	9	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0908	007	0	1	02	01	H0908_007_0	8	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0908	008	0	1	02	01	H0908_008_0	14	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0913	013	0	1	01	01	H0913_013_0	7	1	1	14c8;														2																																				2																																																																				2																																																																				2																																																2		1	14c8;																	0.00	0.00																													2	2
H0963	001	0	1	01	01	H0963_001_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	001	0	1	02	01	H1019_001_0	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	006	0	1	01	01	H1019_006_0	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	023	0	1	01	01	H1019_023_0	6	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	057	0	1	02	01	H1019_057_0	5	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	073	0	1	01	01	H1019_073_0	6	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	103	1	1	01	01	H1019_103_1	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	103	2	1	01	01	H1019_103_2	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	109	0	1	01	01	H1019_109_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	113	0	1	01	01	H1019_113_0	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	118	0	1	01	01	H1019_118_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	121	0	1	01	01	H1019_121_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	123	0	1	01	01	H1019_123_0	4	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	124	0	1	02	01	H1019_124_0	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	130	0	1	02	01	H1019_130_0	4	1	1	14c8;14c10;14c11;14c15;14c19;14c21;14c22;														2						2	2													2										2		2	2	011		2																																																																				2																																																																				2																																																2		2																																																1	2
H1019	144	0	1	01	01	H1019_144_0	6	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
H1019	146	0	1	01	01	H1019_146_0	6	1	1	14c8;14c11;														2							2																													2																																																																				2																																																																				2																																																2		2																																																2	2
