pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b18a_bendesc_yn	pbp_b18a_bendesc_ehc	pbp_b18a_bendesc_amo_rht	pbp_b18a_bendesc_lim_rht	pbp_b18a_bendesc_numv_cl	pbp_b18a_bendesc_per_rht	pbp_b18a_bendesc_per_rht_d	pbp_b18a_bendesc_amo_fha	pbp_b18a_bendesc_lim_fha	pbp_b18a_bendesc_numv_fha	pbp_b18a_bendesc_per_fha	pbp_b18a_bendesc_per_fha_d	pbp_b18a_maxplan_yn	pbp_b18a_maxplan_in_oon	pbp_b18a_maxplan_amt	pbp_b18a_maxplan_per	pbp_b18a_maxplan_per_d	pbp_b18a_ded_nmc_yn	pbp_b18a_ded_nmc_amt	pbp_b18a_coins_yn	pbp_b18a_coins_ehc	pbp_b18a_coins_pct_rht	pbp_b18a_coins_pct_max_rht	pbp_b18a_coins_pct_fha	pbp_b18a_coins_pct_max_fha	pbp_b18a_copay_yn	pbp_b18a_copay_ehc	pbp_b18a_copay_amt_rht	pbp_b18a_copay_amt_max_rht	pbp_b18a_copay_amt_fha	pbp_b18a_copay_amt_max_fha	pbp_b18a_auth_yn	pbp_b18a_refer_yn	pbp_b18b_bendesc_yn	pbp_b18b_bendesc_ehc	pbp_b18b_bendesc_amo_at	pbp_b18b_bendesc_lim_at	pbp_b18b_bendesc_numv_at	pbp_b18b_bendesc_per_at	pbp_b18b_bendesc_per_at_d	pbp_b18b_bendesc_amo_ie	pbp_b18b_bendesc_lim_ie	pbp_b18b_bendesc_numv_ie	pbp_b18b_bendesc_per_ie	pbp_b18b_bendesc_per_ie_d	pbp_b18b_bendesc_amo_oe	pbp_b18b_bendesc_lim_oe	pbp_b18b_bendesc_numv_oe	pbp_b18b_bendesc_per_oe	pbp_b18b_bendesc_per_oe_d	pbp_b18b_bendesc_amo_ote	pbp_b18b_bendesc_lim_ote	pbp_b18b_bendesc_numv_ote	pbp_b18b_bendesc_per_ote	pbp_b18b_bendesc_per_ote_d	pbp_b18b_maxplan_yn	pbp_b18b_maxplan_perear	pbp_b18b_maxplan_type	pbp_b18b_maxplan_in_oon	pbp_b18b_maxplan_amt	pbp_b18b_maxplan_per	pbp_b18b_maxplan_per_d	pbp_b18b_maxenr_yn	pbp_b18b_maxenr_type	pbp_b18b_maxenr_amt	pbp_b18b_maxenr_per	pbp_b18b_maxenr_per_d	pbp_b18b_coins_yn	pbp_b18b_coins_ehc	pbp_b18b_coins_pct_at_min	pbp_b18b_coins_pct_at_max	pbp_b18b_coins_pct_ie_min	pbp_b18b_coins_pct_ie_max	pbp_b18b_coins_pct_oe_min	pbp_b18b_coins_pct_oe_max	pbp_b18b_coins_pct_ote_min	pbp_b18b_coins_pct_ote_max	pbp_b18b_copay_yn	pbp_b18b_copay_ehc	pbp_b18b_copay_at_min_amt	pbp_b18b_copay_at_max_amt	pbp_b18b_copay_amt_per_ie_min	pbp_b18b_copay_amt_per_ie_max	pbp_b18b_copay_amt_p2_ie_min	pbp_b18b_copay_amt_p2_ie_max	pbp_b18b_copay_amt_per_oe_min	pbp_b18b_copay_amt_per_oe_max	pbp_b18b_copay_amt_p2_oe_min	pbp_b18b_copay_amt_p2_oe_max	pbp_b18b_copay_amt_per_ote_min	pbp_b18b_copay_amt_per_ote_max	pbp_b18b_copay_amt_p2_ote_min	pbp_b18b_copay_amt_p2_ote_max	pbp_b18b_ded_yn	pbp_b18b_ded_amt	pbp_b18b_auth_yn	pbp_b18b_refer_yn	pbp_b18c_bendesc_amo	pbp_b18c_maxplan_yn	pbp_b18c_maxplan_aid_type	pbp_b18c_maxplan_in_oon	pbp_b18c_maxplan_amt	pbp_b18c_maxplan_per	pbp_b18c_maxplan_per_desc	pbp_b18c_maxenr_yn	pbp_b18c_maxenr_amt	pbp_b18c_maxenr_per	pbp_b18c_maxenr_per_desc	pbp_b18c_ded_yn	pbp_b18c_ded_amt	pbp_b18c_bendesc_lim	pbp_b18c_bendesc_num	pbp_b18c_bendesc_per	pbp_b18c_bendesc_desc	pbp_b18c_coins_yn	pbp_b18c_coins_pct	pbp_b18c_coins_pct_min	pbp_b18c_coins_pct_max	pbp_b18c_copay_yn	pbp_b18c_copay_amt	pbp_b18c_copay_amt_min	pbp_b18c_copay_amt_max	pbp_b18c_auth_yn	pbp_b18c_refer_yn
H0028	039	0	1	01	01	H0028_039_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H0028	046	0	1	01	01	H0028_046_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H0473	003	0	1	04	01	H0473_003_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H0523	801	0	1	01	01	H0523_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H0523	801	0	1	01	01	H0523_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H0523	805	0	1	01	01	H0523_805_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H0523	805	0	1	01	01	H0523_805_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H0628	801	0	1	01	01	H0628_801_0	2	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H0628	801	0	1	01	01	H0628_801_0	2	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H0783	004	0	1	01	01	H0783_004_0	2	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	001	0	1	02	01	H1019_001_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	006	0	1	01	01	H1019_006_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	103	1	1	01	01	H1019_103_1	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	103	2	1	01	01	H1019_103_2	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	109	0	1	01	01	H1019_109_0	4	1																																																																																																		2	2						2				2		1				2				2				2	2
H1019	113	0	1	01	01	H1019_113_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	118	0	1	01	01	H1019_118_0	4	1																																																																																																		2	2						2				2		1				2				2				2	2
H1019	121	0	1	01	01	H1019_121_0	4	1																																																																																																		2	2						2				2		1				2				2				2	2
H1019	123	0	1	01	01	H1019_123_0	4	1																																																																																																		2	2						2				2		1				2				2				2	2
H1019	124	0	1	02	01	H1019_124_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	130	0	1	02	01	H1019_130_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	147	2	1	01	01	H1019_147_2	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1019	151	2	1	01	01	H1019_151_2	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	054	0	1	01	01	H1036_054_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	062	0	1	01	01	H1036_062_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	065	0	1	01	01	H1036_065_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	077	0	1	01	01	H1036_077_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	102	0	1	01	01	H1036_102_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	209	0	1	01	01	H1036_209_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	210	0	1	01	01	H1036_210_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	213	0	1	01	01	H1036_213_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H1036	214	0	1	01	01	H1036_214_0	5	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
