pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b1a_bendesc_yn	pbp_b1a_bendesc_ad_up_nmcs	pbp_b1a_bendesc_amo_ad	pbp_b1a_bendesc_lim_ad	pbp_b1a_bendesc_amt_ad	pbp_b1a_bendesc_amo_nmcs	pbp_b1a_bendesc_amo_up	pbp_b1a_maxenr_yn	pbp_b1a_maxenr_amt	pbp_b1a_maxenr_per	pbp_b1a_maxenr_per_d	pbp_b1a_cost_vary_tiers_yn	pbp_b1a_cost_vary_tier_num	pbp_b1a_cost_vary_low_tier	pbp_b1a_coins_yn	pbp_b1a_mc_coins_cstshr_yn_t1	pbp_b1a_coins_mcs_pct_t1	pbp_b1a_coins_mcs_int_num_t1	pbp_b1a_coins_mcs_pct_int1_t1	pbp_b1a_coins_mcs_bgnd_int1_t1	pbp_b1a_coins_mcs_endd_int1_t1	pbp_b1a_coins_mcs_pct_int2_t1	pbp_b1a_coins_mcs_bgnd_int2_t1	pbp_b1a_coins_mcs_endd_int2_t1	pbp_b1a_coins_mcs_pct_int3_t1	pbp_b1a_coins_mcs_bgnd_int3_t1	pbp_b1a_coins_mcs_endd_int3_t1	pbp_b1a_mc_coins_cstshr_yn_t2	pbp_b1a_coins_mcs_pct_t2	pbp_b1a_coins_mcs_int_num_t2	pbp_b1a_coins_mcs_pct_int1_t2	pbp_b1a_coins_mcs_bgnd_int1_t2	pbp_b1a_coins_mcs_endd_int1_t2	pbp_b1a_coins_mcs_pct_int2_t2	pbp_b1a_coins_mcs_bgnd_int2_t2	pbp_b1a_coins_mcs_endd_int2_t2	pbp_b1a_coins_mcs_pct_int3_t2	pbp_b1a_coins_mcs_bgnd_int3_t2	pbp_b1a_coins_mcs_endd_int3_t2	pbp_b1a_mc_coins_cstshr_yn_t3	pbp_b1a_coins_mcs_pct_t3	pbp_b1a_coins_mcs_int_num_t3	pbp_b1a_coins_mcs_pct_int1_t3	pbp_b1a_coins_mcs_bgnd_int1_t3	pbp_b1a_coins_mcs_endd_int1_t3	pbp_b1a_coins_mcs_pct_int2_t3	pbp_b1a_coins_mcs_bgnd_int2_t3	pbp_b1a_coins_mcs_endd_int2_t3	pbp_b1a_coins_mcs_pct_int3_t3	pbp_b1a_coins_mcs_bgnd_int3_t3	pbp_b1a_coins_mcs_endd_int3_t3	pbp_b1a_coins_lrd_int_num_t1	pbp_b1a_coins_lrd_pct_int1_t1	pbp_b1a_coins_lrd_bgnd_int1_t1	pbp_b1a_coins_lrd_endd_int1_t1	pbp_b1a_coins_lrd_pct_int2_t1	pbp_b1a_coins_lrd_bgnd_int2_t1	pbp_b1a_coins_lrd_endd_int2_t1	pbp_b1a_coins_lrd_pct_int3_t1	pbp_b1a_coins_lrd_bgnd_int3_t1	pbp_b1a_coins_lrd_endd_int3_t1	pbp_b1a_coins_lrd_int_num_t2	pbp_b1a_coins_lrd_pct_int1_t2	pbp_b1a_coins_lrd_bgnd_int1_t2	pbp_b1a_coins_lrd_endd_int1_t2	pbp_b1a_coins_lrd_pct_int2_t2	pbp_b1a_coins_lrd_bgnd_int2_t2	pbp_b1a_coins_lrd_endd_int2_t2	pbp_b1a_coins_lrd_pct_int3_t2	pbp_b1a_coins_lrd_bgnd_int3_t2	pbp_b1a_coins_lrd_endd_int3_t2	pbp_b1a_coins_lrd_int_num_t3	pbp_b1a_coins_lrd_pct_int1_t3	pbp_b1a_coins_lrd_bgnd_int1_t3	pbp_b1a_coins_lrd_endd_int1_t3	pbp_b1a_coins_lrd_pct_int2_t3	pbp_b1a_coins_lrd_bgnd_int2_t3	pbp_b1a_coins_lrd_endd_int2_t3	pbp_b1a_coins_lrd_pct_int3_t3	pbp_b1a_coins_lrd_bgnd_int3_t3	pbp_b1a_coins_lrd_endd_int3_t3	pbp_b1a_ad_cost_vary_tiers_yn	pbp_b1a_ad_cost_vary_tier_num	pbp_b1a_ad_cost_vary_low_tier	pbp_b1a_coins_ad_intrvl_num_t1	pbp_b1a_coins_ad_pct_int1_t1	pbp_b1a_coins_ad_bgnd_int1_t1	pbp_b1a_coins_ad_endd_int1_t1	pbp_b1a_coins_ad_pct_int2_t1	pbp_b1a_coins_ad_bgnd_int2_t1	pbp_b1a_coins_ad_endd_int2_t1	pbp_b1a_coins_ad_pct_int3_t1	pbp_b1a_coins_ad_bgnd_int3_t1	pbp_b1a_coins_ad_endd_int3_t1	pbp_b1a_coins_ad_intrvl_num_t2	pbp_b1a_coins_ad_pct_int1_t2	pbp_b1a_coins_ad_bgnd_int1_t2	pbp_b1a_coins_ad_endd_int1_t2	pbp_b1a_coins_ad_pct_int2_t2	pbp_b1a_coins_ad_bgnd_int2_t2	pbp_b1a_coins_ad_endd_int2_t2	pbp_b1a_coins_ad_pct_int3_t2	pbp_b1a_coins_ad_bgnd_int3_t2	pbp_b1a_coins_ad_endd_int3_t2	pbp_b1a_coins_ad_intrvl_num_t3	pbp_b1a_coins_ad_pct_int1_t3	pbp_b1a_coins_ad_bgnd_int1_t3	pbp_b1a_coins_ad_endd_int1_t3	pbp_b1a_coins_ad_pct_int2_t3	pbp_b1a_coins_ad_bgnd_int2_t3	pbp_b1a_coins_ad_endd_int2_t3	pbp_b1a_coins_ad_pct_int3_t3	pbp_b1a_coins_ad_bgnd_int3_t3	pbp_b1a_coins_ad_endd_int3_t3	pbp_b1a_coins_nmcs_struc_yn	pbp_b1a_coins_nmcs_pct	pbp_b1a_coins_nmcs_intrvl_num	pbp_b1a_coins_nmcs_pct_intrvl1	pbp_b1a_coins_nmcs_bgnd_ntrvl1	pbp_b1a_coins_nmcs_endd_ntrvl1	pbp_b1a_coins_nmcs_pct_intrvl2	pbp_b1a_coins_nmcs_bgnd_ntrvl2	pbp_b1a_coins_nmcs_endd_ntrvl2	pbp_b1a_coins_nmcs_pct_intrvl3	pbp_b1a_coins_nmcs_bgnd_ntrvl3	pbp_b1a_coins_nmcs_endd_ntrvl3	pbp_b1a_coins_up_cstshr_yn	pbp_b1a_coins_pct_up	pbp_b1a_ded_yn	pbp_b1a_ded_amt_t1	pbp_b1a_ded_amt_t2	pbp_b1a_ded_amt_t3	pbp_b1a_copay_yn	pbp_b1a_mc_copay_cstshr_yn_t1	pbp_b1a_copay_mcs_amt_t1	pbp_b1a_copay_mcs_int_num_t1	pbp_b1a_copay_mcs_amt_int1_t1	pbp_b1a_copay_mcs_bgnd_int1_t1	pbp_b1a_copay_mcs_endd_int1_t1	pbp_b1a_copay_mcs_amt_int2_t1	pbp_b1a_copay_mcs_bgnd_int2_t1	pbp_b1a_copay_mcs_endd_int2_t1	pbp_b1a_copay_mcs_amt_int3_t1	pbp_b1a_copay_mcs_bgnd_int3_t1	pbp_b1a_copay_mcs_endd_int3_t1	pbp_b1a_mc_copay_cstshr_yn_t2	pbp_b1a_copay_mcs_amt_t2	pbp_b1a_copay_mcs_int_num_t2	pbp_b1a_copay_mcs_amt_int1_t2	pbp_b1a_copay_mcs_bgnd_int1_t2	pbp_b1a_copay_mcs_endd_int1_t2	pbp_b1a_copay_mcs_amt_int2_t2	pbp_b1a_copay_mcs_bgnd_int2_t2	pbp_b1a_copay_mcs_endd_int2_t2	pbp_b1a_copay_mcs_amt_int3_t2	pbp_b1a_copay_mcs_bgnd_int3_t2	pbp_b1a_copay_mcs_endd_int3_t2	pbp_b1a_mc_copay_cstshr_yn_t3	pbp_b1a_copay_mcs_amt_t3	pbp_b1a_copay_mcs_int_num_t3	pbp_b1a_copay_mcs_amt_int1_t3	pbp_b1a_copay_mcs_bgnd_int1_t3	pbp_b1a_copay_mcs_endd_int1_t3	pbp_b1a_copay_mcs_amt_int2_t3	pbp_b1a_copay_mcs_bgnd_int2_t3	pbp_b1a_copay_mcs_endd_int2_t3	pbp_b1a_copay_mcs_amt_int3_t3	pbp_b1a_copay_mcs_bgnd_int3_t3	pbp_b1a_copay_mcs_endd_int3_t3	pbp_b1a_copay_lrd_int_num_t1	pbp_b1a_copay_lrd_amt_int1_t1	pbp_b1a_copay_lrd_bgnd_int1_t1	pbp_b1a_copay_lrd_endd_int1_t1	pbp_b1a_copay_lrd_amt_int2_t1	pbp_b1a_copay_lrd_bgnd_int2_t1	pbp_b1a_copay_lrd_endd_int2_t1	pbp_b1a_copay_lrd_amt_int3_t1	pbp_b1a_copay_lrd_bgnd_int3_t1	pbp_b1a_copay_lrd_endd_int3_t1	pbp_b1a_copay_lrd_int_num_t2	pbp_b1a_copay_lrd_amt_int1_t2	pbp_b1a_copay_lrd_bgnd_int1_t2	pbp_b1a_copay_lrd_endd_int1_t2	pbp_b1a_copay_lrd_amt_int2_t2	pbp_b1a_copay_lrd_bgnd_int2_t2	pbp_b1a_copay_lrd_endd_int2_t2	pbp_b1a_copay_lrd_amt_int3_t2	pbp_b1a_copay_lrd_bgnd_int3_t2	pbp_b1a_copay_lrd_endd_int3_t2	pbp_b1a_copay_lrd_int_num_t3	pbp_b1a_copay_lrd_amt_int1_t3	pbp_b1a_copay_lrd_bgnd_int1_t3	pbp_b1a_copay_lrd_endd_int1_t3	pbp_b1a_copay_lrd_amt_int2_t3	pbp_b1a_copay_lrd_bgnd_int2_t3	pbp_b1a_copay_lrd_endd_int2_t3	pbp_b1a_copay_lrd_amt_int3_t3	pbp_b1a_copay_lrd_bgnd_int3_t3	pbp_b1a_copay_lrd_endd_int3_t3	pbp_b1a_copay_ad_intrvl_num_t1	pbp_b1a_copay_ad_amt_int1_t1	pbp_b1a_copay_ad_bgnd_int1_t1	pbp_b1a_copay_ad_endd_int1_t1	pbp_b1a_copay_ad_amt_int2_t1	pbp_b1a_copay_ad_bgnd_int2_t1	pbp_b1a_copay_ad_endd_int2_t1	pbp_b1a_copay_ad_amt_int3_t1	pbp_b1a_copay_ad_bgnd_int3_t1	pbp_b1a_copay_ad_endd_int3_t1	pbp_b1a_copay_ad_intrvl_num_t2	pbp_b1a_copay_ad_amt_int1_t2	pbp_b1a_copay_ad_bgnd_int1_t2	pbp_b1a_copay_ad_endd_int1_t2	pbp_b1a_copay_ad_amt_int2_t2	pbp_b1a_copay_ad_bgnd_int2_t2	pbp_b1a_copay_ad_endd_int2_t2	pbp_b1a_copay_ad_amt_int3_t2	pbp_b1a_copay_ad_bgnd_int3_t2	pbp_b1a_copay_ad_endd_int3_t2	pbp_b1a_copay_ad_intrvl_num_t3	pbp_b1a_copay_ad_amt_int1_t3	pbp_b1a_copay_ad_bgnd_int1_t3	pbp_b1a_copay_ad_endd_int1_t3	pbp_b1a_copay_ad_amt_int2_t3	pbp_b1a_copay_ad_bgnd_int2_t3	pbp_b1a_copay_ad_endd_int2_t3	pbp_b1a_copay_ad_amt_int3_t3	pbp_b1a_copay_ad_bgnd_int3_t3	pbp_b1a_copay_ad_endd_int3_t3	pbp_b1a_copay_nmcs_struc_yn	pbp_b1a_copay_nmcs_amt	pbp_b1a_copay_nmcs_intrvl_num	pbp_b1a_copay_nmcs_amt_intrvl1	pbp_b1a_copay_nmcs_bgnd_ntrvl1	pbp_b1a_copay_nmcs_endd_ntrvl1	pbp_b1a_copay_nmcs_amt_intrvl2	pbp_b1a_copay_nmcs_bgnd_ntrvl2	pbp_b1a_copay_nmcs_endd_ntrvl2	pbp_b1a_copay_nmcs_amt_intrvl3	pbp_b1a_copay_nmcs_bgnd_ntrvl3	pbp_b1a_copay_nmcs_endd_ntrvl3	pbp_b1a_copay_up_cstshr_yn	pbp_b1a_copay_up_amt_stay	pbp_b1a_copay_up_amt_day	pbp_b1a_hosp_ben_period	pbp_b1a_hosp_ben_period_oth	pbp_b1a_cost_discharge_yn	pbp_b1a_auth_yn	pbp_b1a_refer_yn	pbp_b1a_bendesc_yn_bonly	pbp_b1a_bendesc_amo_iact_bonly	pbp_b1a_bendesc_ulim_bonly	pbp_b1a_bendesc_amt_days_bonly	pbp_b1a_bendesc_per_bonly	pbp_b1a_bendesc_per_bonly_d	pbp_b1a_maxplan_yn_bonly	pbp_b1a_maxplan_amt_bonly	pbp_b1a_maxplan_per_bonly	pbp_b1a_maxplan_per_bonly_d	pbp_b1a_maxenr_yn_bonly	pbp_b1a_maxenr_amt_bonly	pbp_b1a_maxenr_per_bonly	pbp_b1a_maxenr_per_bonly_d	pbp_b1a_coins_yn_bonly	pbp_b1a_coins_pct_bonly	pbp_b1a_coins_ps_num_bonly	pbp_b1a_coins_ps_pct1_bonly	pbp_b1a_coins_ps_bgnd1_bonly	pbp_b1a_coins_ps_endd1_bonly	pbp_b1a_coins_ps_pct2_bonly	pbp_b1a_coins_ps_bgnd2_bonly	pbp_b1a_coins_ps_endd2_bonly	pbp_b1a_coins_ps_pct3_bonly	pbp_b1a_coins_ps_bgnd3_bonly	pbp_b1a_coins_ps_endd3_bonly	pbp_b1a_ded_yn_bonly	pbp_b1a_ded_amt_bonly	pbp_b1a_copay_yn_bonly	pbp_b1a_copay_amt_ps_bonly	pbp_b1a_copay_ps_num_bonly	pbp_b1a_copay_ps_amt1_bonly	pbp_b1a_copay_ps_bgnd1_bonly	pbp_b1a_copay_ps_endd1_bonly	pbp_b1a_copay_ps_amt2_bonly	pbp_b1a_copay_ps_bgnd2_bonly	pbp_b1a_copay_ps_endd2_bonly	pbp_b1a_copay_ps_amt3_bonly	pbp_b1a_copay_ps_bgnd3_bonly	pbp_b1a_copay_ps_endd3_bonly	pbp_b1a_discharge_yn_bonly	pbp_b1a_auth_yn_bonly	pbp_b1a_refer_yn_bonly
H4003	009	0	1	01	01	H4003_009_0	5	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4003	019	0	1	02	01	H4003_019_0	6	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4003	034	0	1	02	01	H4003_034_0	5	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4003	055	0	1	02	01	H4003_055_0	6	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	056	0	1	02	01	H4004_056_0	7	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	065	0	1	02	01	H4004_065_0	5	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	066	0	1	02	01	H4004_066_0	6	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	070	0	1	02	01	H4004_070_0	5	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	071	0	1	02	01	H4004_071_0	5	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	073	1	1	02	01	H4004_073_1	6	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	073	2	1	02	01	H4004_073_2	6	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4004	073	3	1	02	01	H4004_073_3	6	1	1	010	2	1				2				2			2																																																																			2																																															2				2																																																																																																																3		2	2	2																																											
H4624	023	0	1	01	01	H4624_023_0	8	3	2							2				2			2																																																																																																																		2				1	2	0.00	3	250.00	1	6	0.00	7	90																												1																																																																											3		2	1	2																																											
H4624	025	0	1	01	01	H4624_025_0	9	3	2							2				2			2																																																																																																																		2				1	2	0.00	3	350.00	1	6	0.00	7	90																												1																																																																											3		2	1	2																																											
H4624	029	0	1	01	01	H4624_029_0	8	3	2							2				2			2																																																																																																																		2				1	2	0.00	3	350.00	1	6	0.00	7	90																												1																																																																											3		2	1	2																																											
H4624	036	0	1	01	01	H4624_036_0	8	3	2							2				2			2																																																																																																																		2				1	2	0.00	3	350.00	1	6	0.00	7	90																												1																																																																											3		2	1	2																																											
H4624	042	0	1	01	01	H4624_042_0	8	3	2							2				2			2																																																																																																																		2				1	2	0.00	3	350.00	1	6	0.00	7	90																												1																																																																											3		2	1	2																																											
H5211	001	0	1	02	01	H5211_001_0	9	2	2							2				2			2																																																																																																																		2				2																																																																																																																3		2	1	2																																											
H5211	002	0	1	02	01	H5211_002_0	10	1	2							2				2			2																																																																																																																		2				2																																																																																																																3		2	1	2																																											
H5211	003	0	1	02	01	H5211_003_0	9	1	2							2				2			2																																																																																																																		2				2																																																																																																																3		2	1	2																																											
H5211	004	0	1	02	01	H5211_004_0	11	1	2							2				2			2																																																																																																																		2				2																																																																																																																3		2	1	2																																											
H5211	012	0	1	02	01	H5211_012_0	11	1	2							2				2			2																																																																																																																		2				2																																																																																																																3		2	1	2																																											
