pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b1a_bendesc_yn	pbp_b1a_bendesc_ad_up_nmcs	pbp_b1a_bendesc_amo_ad	pbp_b1a_bendesc_lim_ad	pbp_b1a_bendesc_amt_ad	pbp_b1a_bendesc_amo_nmcs	pbp_b1a_bendesc_amo_up	pbp_b1a_coins_yn	pbp_b1a_ad_cost_vary_tiers_yn	pbp_b1a_ad_cost_vary_tier_num	pbp_b1a_ad_cost_vary_low_tier	pbp_b1a_coins_ad_intrvl_num_t1	pbp_b1a_coins_ad_pct_int1_t1	pbp_b1a_coins_ad_bgnd_int1_t1	pbp_b1a_coins_ad_endd_int1_t1	pbp_b1a_coins_ad_pct_int2_t1	pbp_b1a_coins_ad_bgnd_int2_t1	pbp_b1a_coins_ad_endd_int2_t1	pbp_b1a_coins_ad_pct_int3_t1	pbp_b1a_coins_ad_bgnd_int3_t1	pbp_b1a_coins_ad_endd_int3_t1	pbp_b1a_coins_ad_intrvl_num_t2	pbp_b1a_coins_ad_pct_int1_t2	pbp_b1a_coins_ad_bgnd_int1_t2	pbp_b1a_coins_ad_endd_int1_t2	pbp_b1a_coins_ad_pct_int2_t2	pbp_b1a_coins_ad_bgnd_int2_t2	pbp_b1a_coins_ad_endd_int2_t2	pbp_b1a_coins_ad_pct_int3_t2	pbp_b1a_coins_ad_bgnd_int3_t2	pbp_b1a_coins_ad_endd_int3_t2	pbp_b1a_coins_ad_intrvl_num_t3	pbp_b1a_coins_ad_pct_int1_t3	pbp_b1a_coins_ad_bgnd_int1_t3	pbp_b1a_coins_ad_endd_int1_t3	pbp_b1a_coins_ad_pct_int2_t3	pbp_b1a_coins_ad_bgnd_int2_t3	pbp_b1a_coins_ad_endd_int2_t3	pbp_b1a_coins_ad_pct_int3_t3	pbp_b1a_coins_ad_bgnd_int3_t3	pbp_b1a_coins_ad_endd_int3_t3	pbp_b1a_coins_nmcs_struc_yn	pbp_b1a_coins_nmcs_pct	pbp_b1a_coins_nmcs_intrvl_num	pbp_b1a_coins_nmcs_pct_intrvl1	pbp_b1a_coins_nmcs_bgnd_ntrvl1	pbp_b1a_coins_nmcs_endd_ntrvl1	pbp_b1a_coins_nmcs_pct_intrvl2	pbp_b1a_coins_nmcs_bgnd_ntrvl2	pbp_b1a_coins_nmcs_endd_ntrvl2	pbp_b1a_coins_nmcs_pct_intrvl3	pbp_b1a_coins_nmcs_bgnd_ntrvl3	pbp_b1a_coins_nmcs_endd_ntrvl3	pbp_b1a_coins_up_cstshr_yn	pbp_b1a_coins_pct_up	pbp_b1a_copay_yn	pbp_b1a_copay_ad_intrvl_num_t1	pbp_b1a_copay_ad_amt_int1_t1	pbp_b1a_copay_ad_bgnd_int1_t1	pbp_b1a_copay_ad_endd_int1_t1	pbp_b1a_copay_ad_amt_int2_t1	pbp_b1a_copay_ad_bgnd_int2_t1	pbp_b1a_copay_ad_endd_int2_t1	pbp_b1a_copay_ad_amt_int3_t1	pbp_b1a_copay_ad_bgnd_int3_t1	pbp_b1a_copay_ad_endd_int3_t1	pbp_b1a_copay_ad_intrvl_num_t2	pbp_b1a_copay_ad_amt_int1_t2	pbp_b1a_copay_ad_bgnd_int1_t2	pbp_b1a_copay_ad_endd_int1_t2	pbp_b1a_copay_ad_amt_int2_t2	pbp_b1a_copay_ad_bgnd_int2_t2	pbp_b1a_copay_ad_endd_int2_t2	pbp_b1a_copay_ad_amt_int3_t2	pbp_b1a_copay_ad_bgnd_int3_t2	pbp_b1a_copay_ad_endd_int3_t2	pbp_b1a_copay_ad_intrvl_num_t3	pbp_b1a_copay_ad_amt_int1_t3	pbp_b1a_copay_ad_bgnd_int1_t3	pbp_b1a_copay_ad_endd_int1_t3	pbp_b1a_copay_ad_amt_int2_t3	pbp_b1a_copay_ad_bgnd_int2_t3	pbp_b1a_copay_ad_endd_int2_t3	pbp_b1a_copay_ad_amt_int3_t3	pbp_b1a_copay_ad_bgnd_int3_t3	pbp_b1a_copay_ad_endd_int3_t3	pbp_b1a_copay_nmcs_struc_yn	pbp_b1a_copay_nmcs_amt	pbp_b1a_copay_nmcs_intrvl_num	pbp_b1a_copay_nmcs_amt_intrvl1	pbp_b1a_copay_nmcs_bgnd_ntrvl1	pbp_b1a_copay_nmcs_endd_ntrvl1	pbp_b1a_copay_nmcs_amt_intrvl2	pbp_b1a_copay_nmcs_bgnd_ntrvl2	pbp_b1a_copay_nmcs_endd_ntrvl2	pbp_b1a_copay_nmcs_amt_intrvl3	pbp_b1a_copay_nmcs_bgnd_ntrvl3	pbp_b1a_copay_nmcs_endd_ntrvl3	pbp_b1a_copay_up_cstshr_yn	pbp_b1a_copay_up_amt_stay	pbp_b1a_copay_up_amt_day	pbp_b1a_auth_yn	pbp_b1a_refer_yn	pbp_b1a_bendesc_yn_bonly	pbp_b1a_bendesc_amo_iact_bonly	pbp_b1a_bendesc_ulim_bonly	pbp_b1a_bendesc_amt_days_bonly	pbp_b1a_bendesc_per_bonly	pbp_b1a_bendesc_per_bonly_d	pbp_b1a_maxplan_yn_bonly	pbp_b1a_maxplan_amt_bonly	pbp_b1a_maxplan_per_bonly	pbp_b1a_maxplan_per_bonly_d	pbp_b1a_maxenr_yn_bonly	pbp_b1a_maxenr_amt_bonly	pbp_b1a_maxenr_per_bonly	pbp_b1a_maxenr_per_bonly_d	pbp_b1a_coins_yn_bonly	pbp_b1a_coins_pct_bonly	pbp_b1a_coins_ps_num_bonly	pbp_b1a_coins_ps_pct1_bonly	pbp_b1a_coins_ps_bgnd1_bonly	pbp_b1a_coins_ps_endd1_bonly	pbp_b1a_coins_ps_pct2_bonly	pbp_b1a_coins_ps_bgnd2_bonly	pbp_b1a_coins_ps_endd2_bonly	pbp_b1a_coins_ps_pct3_bonly	pbp_b1a_coins_ps_bgnd3_bonly	pbp_b1a_coins_ps_endd3_bonly	pbp_b1a_ded_yn_bonly	pbp_b1a_ded_amt_bonly	pbp_b1a_copay_yn_bonly	pbp_b1a_copay_amt_ps_bonly	pbp_b1a_copay_ps_num_bonly	pbp_b1a_copay_ps_amt1_bonly	pbp_b1a_copay_ps_bgnd1_bonly	pbp_b1a_copay_ps_endd1_bonly	pbp_b1a_copay_ps_amt2_bonly	pbp_b1a_copay_ps_bgnd2_bonly	pbp_b1a_copay_ps_endd2_bonly	pbp_b1a_copay_ps_amt3_bonly	pbp_b1a_copay_ps_bgnd3_bonly	pbp_b1a_copay_ps_endd3_bonly	pbp_b1a_discharge_yn_bonly	pbp_b1a_auth_yn_bonly	pbp_b1a_refer_yn_bonly
H0523	801	0	1	01	01	H0523_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H0523	805	0	1	01	01	H0523_805_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H0628	801	0	1	01	01	H0628_801_0	2	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H1109	801	0	1	01	01	H1109_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H1109	802	0	1	01	01	H1109_802_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H1206	801	0	1	01	01	H1206_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H1608	801	0	1	04	01	H1608_801_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H1609	801	0	1	01	01	H1609_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H1609	807	0	1	01	01	H1609_807_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H1692	801	0	1	01	01	H1692_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H2056	801	0	1	01	01	H2056_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H2056	802	0	1	01	01	H2056_802_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H2663	805	0	1	01	01	H2663_805_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3146	801	0	1	01	01	H3146_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3152	801	0	1	01	01	H3152_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3152	804	0	1	01	01	H3152_804_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3192	801	0	1	01	01	H3192_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3219	801	0	1	04	01	H3219_801_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H3288	801	0	1	04	01	H3288_801_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H3312	801	0	1	01	01	H3312_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3312	804	0	1	01	01	H3312_804_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3597	801	0	1	01	01	H3597_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3597	802	0	1	01	01	H3597_802_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3748	801	0	1	01	01	H3748_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3928	801	0	1	01	01	H3928_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3928	803	0	1	01	01	H3928_803_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3931	801	0	1	01	01	H3931_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3931	804	0	1	01	01	H3931_804_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H3959	804	0	1	01	01	H3959_804_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H4523	801	0	1	01	01	H4523_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H4523	802	0	1	01	01	H4523_802_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H4711	801	0	1	01	01	H4711_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H4835	801	0	1	01	01	H4835_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H4982	801	0	1	01	01	H4982_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H5302	809	0	1	01	01	H5302_809_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H5521	801	0	1	04	01	H5521_801_0	2	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	802	0	1	04	01	H5522_802_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	803	0	1	04	01	H5522_803_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	810	0	1	04	01	H5522_810_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	811	0	1	04	01	H5522_811_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	815	0	1	04	01	H5522_815_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	816	0	1	04	01	H5522_816_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	819	0	1	04	01	H5522_819_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	820	0	1	04	01	H5522_820_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	821	0	1	04	01	H5522_821_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	823	0	1	04	01	H5522_823_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	828	0	1	04	01	H5522_828_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	832	0	1	04	01	H5522_832_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	836	0	1	04	01	H5522_836_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5522	837	0	1	04	01	H5522_837_0	1	2	1	111	2	1		2	2	1	2			1																														1												1		2																															1												1			2	2																																											
H5593	801	0	1	01	01	H5593_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H5793	801	0	1	01	01	H5793_801_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
H5793	802	0	1	01	01	H5793_802_0	1	2	1	111	2	1		2	2	2	2																																	1												1		2																															1												1			2	2																																											
