pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	part_d_model_demo	part_d_enhncd_cvrg_demo	mrx_form_model_type	mrx_drug_ben_yn	mrx_benefit_type	mrx_partd_network_loc	mrx_ltc_attest_flag	mrx_first_fill	mrx_otc_meds_pay_ump_yn	mrx_otc_meds_attest_flag	mrx_formulary_tiers_num	mrx_tier_form_ex	mrx_tier_form_ex_2_yn	mrx_tier_form_ex_2	mrx_ae_oon_cstshr_struct	mrx_ae_cstshr_apply	mrx_form_model_desc	mrx_ae_ooptcs_apply	mrx_alt_ded_charge	mrx_alt_ded_amount	mrx_alt_ded_type_yn	mrx_alt_no_ded_tier	mrx_alt_ded_tier_cstshr_yn	mrx_alt_gen_cstshr_struct	mrx_alt_gen_coins_pct	mrx_alt_gen_copay_amt	mrx_alt_oon_cstshr_struct	mrx_alt_red_cost_sharing	mrx_alt_red_cost_sharing_items	mrx_alt_fulfill_desc	mrx_alt_excl_drugs_yn	mrx_alt_pre_icl_cost_share	mrx_alt_pre_icl_exclud_only_yn	mrx_alt_ira_covg_tier	mrx_alt_cstshr_post_oopt	mrx_gen_loc_rstd	mrx_gen_rstd_1m	mrx_gen_rstd_2m	mrx_gen_rstd_3m	mrx_gen_loc_oon	mrx_gen_oon_1m	mrx_gen_oon_os	mrx_gen_loc_mostd	mrx_gen_mostd_1m	mrx_gen_mostd_2m	mrx_gen_mostd_3m	mrx_gen_loc_ltc	mrx_gen_ltc_1m	mrx_tier_extd_days_gen_yn	mrx_gen_extd_first_fill	mrx_gen_ira_rstd_copay_1m	mrx_gen_ira_rstd_copay_2m	mrx_gen_ira_rstd_copay_3m	mrx_gen_ira_mostd_copay_1m	mrx_gen_ira_mostd_copay_2m	mrx_gen_ira_mostd_copay_3m	mrx_gen_ira_oonp_copay_1m	mrx_gen_ira_oonp_copay_othnum	mrx_gen_ira_ltcp_copay_1m	mrx_gen_ira_rstd_coins_1m	mrx_gen_ira_rstd_coins_2m	mrx_gen_ira_rstd_coins_3m	mrx_gen_ira_mostd_coins_1m	mrx_gen_ira_mostd_coins_2m	mrx_gen_ira_mostd_coins_3m	mrx_gen_ira_oonp_coins_1m	mrx_gen_ira_oonp_coins_othnum	mrx_gen_ira_ltcp_coins_1m	mrx_avg_exp_cost_share_attest	mrx_snp_zerocost_attest	mrx_vaccine_attest	mrx_insulin_attest
H0016	001	0	1	20	08	H0016_001_0	2				1																																																																				
H0016	003	0	1	20	08	H0016_003_0	2				1																																																																				
H0028	007	0	1	01	01	H0028_007_0	5		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1	1	1	1
H0028	014	0	1	01	01	H0028_014_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	015	0	1	02	01	H0028_015_0	5		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1	1	1	1
H0028	016	0	1	02	01	H0028_016_0	2			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	017	0	1	01	01	H0028_017_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	019	0	1	01	01	H0028_019_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		3								2	1	110	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	021	0	1	01	01	H0028_021_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	250.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	024	0	1	01	01	H0028_024_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	028	0	1	01	01	H0028_028_0	5			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	225.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	029	0	1	01	01	H0028_029_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	030	0	1	01	01	H0028_030_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	032	0	1	01	01	H0028_032_0	5		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1	1	1	1
H0028	035	0	1	01	01	H0028_035_0	4			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	036	0	1	01	01	H0028_036_0	6		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1	1	1	1
H0028	037	0	1	01	01	H0028_037_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
