pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_14b_yn	pbp_d_opt_use_mand_14c_yn	pbp_d_opt_use_mand_14c1_yn	pbp_d_opt_use_mand_14c2_yn	pbp_d_opt_use_mand_14c3_yn	pbp_d_opt_use_mand_14c4_yn	pbp_d_opt_use_mand_14c5_yn	pbp_d_opt_use_mand_14c6_yn	pbp_d_opt_use_mand_14c7_yn	pbp_d_opt_use_mand_14c8_yn	pbp_d_opt_use_mand_14c9_yn	pbp_d_opt_use_mand_14c10_yn	pbp_d_opt_use_mand_14c11_yn	pbp_d_opt_use_mand_14c12_yn	pbp_d_opt_use_mand_14c13_yn	pbp_d_opt_use_mand_14c14_yn	pbp_d_opt_use_mand_14c15_yn	pbp_d_opt_use_mand_14c16_yn	pbp_d_opt_use_mand_14c17_yn	pbp_d_opt_use_mand_14c18_yn	pbp_d_opt_use_mand_14c19_yn	pbp_d_opt_use_mand_14c20_yn	pbp_d_opt_use_mand_14c21_yn	pbp_d_opt_use_mand_14c22_yn	pbp_b14b_bendesc_yn	pbp_b14b_bendesc_rpe_amo	pbp_b14b_maxplan_yn	pbp_b14b_maxplan_amt	pbp_b14b_maxenr_yn	pbp_b14b_maxenr_amt	pbp_b14b_coins_yn	pbp_b14b_coins_pct_rpe_min	pbp_b14b_coins_pct_rpe_max	pbp_b14b_ded_yn	pbp_b14b_ded_amt	pbp_b14b_copay_yn	pbp_b14b_copay_amt_rpe_min	pbp_b14b_copay_amt_rpe_max	pbp_b14b_auth_yn	pbp_b14b_refer_yn	pbp_b14c_bendesc_yn	pbp_b14c_bendesc_ehc	pbp_b14c_bendesc_amo_hec	pbp_b14c_bendesc_amo_ntb	pbp_b14c_bendesc_lim_ntb	pbp_b14c_bendesc_num_ntb	pbp_b14c_bendesc_dur_ntb	pbp_b14c_bendesc_amo_sc	pbp_b14c_bendesc_visit_num_sc	pbp_b14c_bendesc_amo_mhc	pbp_b14c_bendesc_typ_mhc	pbp_b14c_bendesc_amo_edm	pbp_b14c_bendesc_amo_tm	pbp_b14c_bendesc_amo_rat	pbp_b14c_rat_bendesc_ehc	pbp_b14c_bendesc_amo_bsd	pbp_b14c_bendesc_amo_cs	pbp_b14c_bendesc_lim_cs	pbp_b14c_bendesc_num_cs	pbp_b14c_bendesc_dur_cs	pbp_b14c_bendesc_dur_num_cs	pbp_b14c_bendesc_amo_isa	pbp_b14c_bendesc_amo_prs	pbp_b14c_bendesc_amo_mnt	pbp_b14c_mnt_mcd_yn	pbp_b14c_mnt_mcd_unit	pbp_b14c_mnt_mcd_unit_d	pbp_b14c_mnt_mcd_num	pbp_b14c_mnt_nmcd_yn	pbp_b14c_mnt_nmcd_unit	pbp_b14c_mnt_nmcd_num	pbp_b14c_bendesc_amo_imr	pbp_b14c_bendesc_amo_rp	pbp_b14c_rp_bendesc_ehc	pbp_b14c_rp_bendesc_other	pbp_b14c_bendesc_amo_wig	pbp_b14c_bendesc_amo_wm	pbp_b14c_bendesc_amo_at	pbp_b14c_bendesc_lim_at	pbp_b14c_at_visits	pbp_b14c_bendesc_thp_msg	pbp_b14c_thp_msg_unlimited	pbp_b14c_thp_msg_num_amt	pbp_b14c_thp_msg_period	pbp_b14c_thp_msg_period_d	pbp_b14c_bendesc_adcs	pbp_b14c_bendesc_hbpc	pbp_b14c_bendesc_ihss	pbp_b14c_bendesc_sce	pbp_b14c_sce_type_chk	pbp_b14c_sce_note	pbp_b14c_maxplan_yn	pbp_b14c_maxplan_ehc	pbp_b14c_maxplan_amt_hec	pbp_b14c_maxplan_per_hec	pbp_b14c_maxplan_per_hec_d	pbp_b14c_maxplan_amt_ntb	pbp_b14c_maxplan_per_ntb	pbp_b14c_maxplan_per_ntb_d	pbp_b14c_maxplan_amt_sc	pbp_b14c_maxplan_per_sc	pbp_b14c_maxplan_per_sc_d	pbp_b14c_maxplan_amt_mhc	pbp_b14c_maxplan_per_mhc	pbp_b14c_maxplan_per_mhc_d	pbp_b14c_maxplan_amt_edm	pbp_b14c_maxplan_per_edm	pbp_b14c_maxplan_per_edm_d	pbp_b14c_maxplan_amt_tm	pbp_b14c_maxplan_per_tm	pbp_b14c_maxplan_per_tm_d	pbp_b14c_maxplan_amt_rat	pbp_b14c_maxplan_per_rat	pbp_b14c_maxplan_per_rat_d	pbp_b14c_maxplan_amt_bsd	pbp_b14c_maxplan_per_bsd	pbp_b14c_maxplan_per_bsd_d	pbp_b14c_maxplan_amt_cs	pbp_b14c_maxplan_per_cs	pbp_b14c_maxplan_per_cs_d	pbp_b14c_maxplan_amt_isa	pbp_b14c_maxplan_per_isa	pbp_b14c_maxplan_per_isa_d	pbp_b14c_maxplan_amt_prs	pbp_b14c_maxplan_per_prs	pbp_b14c_maxplan_per_prs_d	pbp_b14c_maxplan_amt_mnt	pbp_b14c_maxplan_per_mnt	pbp_b14c_maxplan_per_mnt_d	pbp_b14c_maxplan_amt_imr	pbp_b14c_maxplan_per_imr	pbp_b14c_maxplan_per_imr_d	pbp_b14c_maxplan_amt_rp	pbp_b14c_maxplan_per_rp	pbp_b14c_maxplan_per_rp_d	pbp_b14c_maxplan_amt_wig	pbp_b14c_maxplan_per_wig	pbp_b14c_maxplan_per_wig_d	pbp_b14c_maxplan_amt_wm	pbp_b14c_maxplan_per_wm	pbp_b14c_maxplan_per_wm_d	pbp_b14c_maxplan_amt_at	pbp_b14c_maxplan_per_at	pbp_b14c_maxplan_per_at_d	pbp_b14c_maxplan_amt_thms	pbp_b14c_maxplan_per_thms	pbp_b14c_maxplan_per_thms_d	pbp_b14c_maxplan_amt_adcs	pbp_b14c_maxplan_per_adcs	pbp_b14c_maxplan_per_adcs_d	pbp_b14c_maxplan_amt_hbpc	pbp_b14c_maxplan_per_hbpc	pbp_b14c_maxplan_per_hbpc_d	pbp_b14c_maxplan_amt_ihss	pbp_b14c_maxplan_per_ihss	pbp_b14c_maxplan_per_ihss_d	pbp_b14c_maxplan_amt_sce	pbp_b14c_maxplan_per_sce	pbp_b14c_maxplan_per_sce_d	pbp_b14c_maxenr_yn	pbp_b14c_maxenr_ehc	pbp_b14c_maxenr_amt_hec	pbp_b14c_maxenr_per_hec	pbp_b14c_maxenr_per_hec_d	pbp_b14c_maxenr_amt_ntb	pbp_b14c_maxenr_per_ntb	pbp_b14c_maxenr_per_ntb_d	pbp_b14c_maxenr_amt_sc	pbp_b14c_maxenr_per_sc	pbp_b14c_maxenr_per_sc_d	pbp_b14c_maxenr_amt_mhc	pbp_b14c_maxenr_per_mhc	pbp_b14c_maxenr_per_mhc_d	pbp_b14c_maxenr_amt_edm	pbp_b14c_maxenr_per_edm	pbp_b14c_maxenr_per_edm_d	pbp_b14c_maxenr_amt_tm	pbp_b14c_maxenr_per_tm	pbp_b14c_maxenr_per_tm_d	pbp_b14c_maxenr_amt_rat	pbp_b14c_maxenr_per_rat	pbp_b14c_maxenr_per_rat_d	pbp_b14c_maxenr_amt_bsd	pbp_b14c_maxenr_per_bsd	pbp_b14c_maxenr_per_bsd_d	pbp_b14c_maxenr_amt_cs	pbp_b14c_maxenr_per_cs	pbp_b14c_maxenr_per_cs_d	pbp_b14c_maxenr_amt_isa	pbp_b14c_maxenr_per_isa	pbp_b14c_maxenr_per_isa_d	pbp_b14c_maxenr_amt_prs	pbp_b14c_maxenr_per_prs	pbp_b14c_maxenr_per_prs_d	pbp_b14c_maxenr_amt_mnt	pbp_b14c_maxenr_per_mnt	pbp_b14c_maxenr_per_mnt_d	pbp_b14c_maxenr_amt_imr	pbp_b14c_maxenr_per_imr	pbp_b14c_maxenr_per_imr_d	pbp_b14c_maxenr_amt_rp	pbp_b14c_maxenr_per_rp	pbp_b14c_maxenr_per_rp_d	pbp_b14c_maxenr_amt_wig	pbp_b14c_maxenr_per_wig	pbp_b14c_maxenr_per_wig_d	pbp_b14c_maxenr_amt_wm	pbp_b14c_maxenr_per_wm	pbp_b14c_maxenr_per_wm_d	pbp_b14c_maxenr_amt_at	pbp_b14c_maxenr_per_at	pbp_b14c_maxenr_per_at_d	pbp_b14c_maxenr_amt_thmg	pbp_b14c_maxenr_per_thmg	pbp_b14c_maxenr_per_thmg_d	pbp_b14c_maxenr_amt_adcs	pbp_b14c_maxenr_per_adcs	pbp_b14c_maxenr_per_adcs_d	pbp_b14c_maxenr_amt_hbpc	pbp_b14c_maxenr_per_hbpc	pbp_b14c_maxenr_per_hbpc_d	pbp_b14c_maxenr_amt_ihss	pbp_b14c_maxenr_per_ihss	pbp_b14c_maxenr_per_ihss_d	pbp_b14c_maxenr_amt_sce	pbp_b14c_maxenr_per_sce	pbp_b14c_maxenr_per_sce_d	pbp_b14c_coins_yn	pbp_b14c_coins_ehc	pbp_b14c_coins_pct_min_hec	pbp_b14c_coins_pct_max_hec	pbp_b14c_coins_pct_min_ntb	pbp_b14c_coins_pct_max_ntb	pbp_b14c_coins_pct_min_sc	pbp_b14c_coins_pct_max_sc	pbp_b14c_coins_pct_min_mhc	pbp_b14c_coins_pct_max_mhc	pbp_b14c_coins_pct_min_edm	pbp_b14c_coins_pct_max_edm	pbp_b14c_coins_pct_min_tm	pbp_b14c_coins_pct_max_tm	pbp_b14c_coins_pct_min_rat_wp	pbp_b14c_coins_pct_max_rat_wp	pbp_b14c_coins_pct_min_rat_nh	pbp_b14c_coins_pct_max_rat_nh	pbp_b14c_coins_pct_min_bsd	pbp_b14c_coins_pct_max_bsd	pbp_b14c_coins_pct_min_cs	pbp_b14c_coins_pct_max_cs	pbp_b14c_coins_pct_min_isa	pbp_b14c_coins_pct_max_isa	pbp_b14c_coins_pct_min_prs	pbp_b14c_coins_pct_max_prs	pbp_b14c_coins_pct_min_mnt	pbp_b14c_coins_pct_max_mnt	pbp_b14c_coins_pct_min_imr	pbp_b14c_coins_pct_max_imr	pbp_b14c_coins_pct_min_rp	pbp_b14c_coins_pct_max_rp	pbp_b14c_coins_pct_min_wig	pbp_b14c_coins_pct_max_wig	pbp_b14c_coins_pct_min_wm	pbp_b14c_coins_pct_max_wm	pbp_b14c_coins_pct_min_at	pbp_b14c_coins_pct_max_at	pbp_b14c_coins_pct_min_thmg	pbp_b14c_coins_pct_max_thmg	pbp_b14c_coins_pct_min_adcs	pbp_b14c_coins_pct_max_adcs	pbp_b14c_coins_pct_min_hbpc	pbp_b14c_coins_pct_max_hbpc	pbp_b14c_coins_pct_min_ihss	pbp_b14c_coins_pct_max_ihss	pbp_b14c_coins_pct_min_sce	pbp_b14c_coins_pct_max_sce	pbp_b14c_ded_yn	pbp_b14c_ded_amt	pbp_b14c_copay_yn	pbp_b14c_copay_ehc	pbp_b14c_copay_hec_min_amt	pbp_b14c_copay_hec_max_amt	pbp_b14c_copay_ntb_min_amt	pbp_b14c_copay_ntb_max_amt	pbp_b14c_copay_sc_min_amt	pbp_b14c_copay_sc_max_amt	pbp_b14c_copay_mhc_min_amt	pbp_b14c_copay_mhc_max_amt	pbp_b14c_copay_edm_min_amt	pbp_b14c_copay_edm_max_amt	pbp_b14c_copay_tm_min_amt	pbp_b14c_copay_tm_max_amt	pbp_b14c_copay_rat_wp_min_amt	pbp_b14c_copay_rat_wp_max_amt	pbp_b14c_copay_rat_nh_min_amt	pbp_b14c_copay_rat_nh_max_amt	pbp_b14c_copay_bsd_min_amt	pbp_b14c_copay_bsd_max_amt	pbp_b14c_copay_cs_min_amt	pbp_b14c_copay_cs_max_amt	pbp_b14c_copay_isa_min_amt	pbp_b14c_copay_isa_max_amt	pbp_b14c_copay_prs_min_amt	pbp_b14c_copay_prs_max_amt	pbp_b14c_copay_mnt_min_amt	pbp_b14c_copay_mnt_max_amt	pbp_b14c_copay_imr_min_amt	pbp_b14c_copay_imr_max_amt	pbp_b14c_copay_rp_min_amt	pbp_b14c_copay_rp_max_amt	pbp_b14c_copay_wig_min_amt	pbp_b14c_copay_wig_max_amt	pbp_b14c_copay_wm_min_amt	pbp_b14c_copay_wm_max_amt	pbp_b14c_copay_at_min_amt	pbp_b14c_copay_at_max_amt	pbp_b14c_copay_min_amt_thmg	pbp_b14c_copay_max_amt_thmg	pbp_b14c_copay_min_amt_adcs	pbp_b14c_copay_max_amt_adcs	pbp_b14c_copay_min_amt_hbpc	pbp_b14c_copay_max_amt_hbpc	pbp_b14c_copay_min_amt_ihss	pbp_b14c_copay_max_amt_ihss	pbp_b14c_copay_min_amt_sce	pbp_b14c_copay_max_amt_sce	pbp_b14c_auth_yn	pbp_b14c_refer_yn	pbp_d_opt_identifier
H0524	008	0	1	01	01	H0524_008_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	013	0	1	01	01	H0524_013_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	031	0	1	01	01	H0524_031_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	032	0	1	01	01	H0524_032_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	033	0	1	01	01	H0524_033_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	038	0	1	01	01	H0524_038_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	039	0	1	01	01	H0524_039_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	040	0	1	01	01	H0524_040_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	041	0	1	01	01	H0524_041_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	042	0	1	01	01	H0524_042_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	043	0	1	01	01	H0524_043_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	046	0	1	01	01	H0524_046_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	051	0	1	01	01	H0524_051_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	054	0	1	01	01	H0524_054_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	059	0	1	01	01	H0524_059_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	060	0	1	01	01	H0524_060_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	061	0	1	01	01	H0524_061_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	062	0	1	01	01	H0524_062_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	063	0	1	01	01	H0524_063_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	064	0	1	01	01	H0524_064_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0524	065	0	1	01	01	H0524_065_0	5																									2																1	14c4;								3	011																																									2																																																																				2																																																																				2																																																2		1	14c4;							0.00	0.00																																							2	2	001
H0630	013	0	1	01	01	H0630_013_0	5																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	015	0	1	02	01	H0630_015_0	5		2																							2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	016	0	1	02	01	H0630_016_0	6																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	017	0	1	01	01	H0630_017_0	5																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	020	0	1	01	01	H0630_020_0	5																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	021	0	1	02	01	H0630_021_0	5																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	023	0	1	02	01	H0630_023_0	5																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H0630	025	0	1	02	01	H0630_025_0	5																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	002
H3138	001	0	1	04	01	H3138_001_0	6																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	001
H3138	002	0	1	04	01	H3138_002_0	6																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	001
H3138	003	0	1	04	01	H3138_003_0	6																									2																1	14c21;																																														3				2																																																																				2																																																																				2																																																2		1	14c21;																																											0.00	0.00			2	2	001
H3443	005	0	1	01	01	H3443_005_0	11																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																2	2	001
H3815	013	0	1	01	01	H3815_013_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H3815	038	0	1	01	01	H3815_038_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H3815	040	0	1	01	01	H3815_040_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H3815	047	0	1	01	01	H3815_047_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H3815	055	0	1	01	01	H3815_055_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H3815	056	0	1	01	01	H3815_056_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H3924	059	21	1	04	01	H3924_059_21	3																									2																1	14c4;								3	010																																									1	14c4;										90.00	5																																																								2																																																																				2																																																2		2																																																2	2	001
H3924	059	22	1	04	01	H3924_059_22	3																									2																1	14c4;								3	010																																									1	14c4;										90.00	5																																																								2																																																																				2																																																2		2																																																2	2	001
H3924	065	0	1	04	01	H3924_065_0	3																									2																1	14c4;								3	010																																									1	14c4;										90.00	5																																																								2																																																																				2																																																2		2																																																2	2	001
H5296	006	0	1	01	01	H5296_006_0	10																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																2	2	001
H5296	008	0	1	01	01	H5296_008_0	8																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																2	2	001
H5472	003	0	1	02	01	H5472_003_0	10																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H5472	010	0	1	02	01	H5472_010_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	1	001
H8832	001	0	1	04	01	H8832_001_0	7																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																1	2	001
H9686	008	0	1	01	01	H9686_008_0	10																									2																1	14c11;																					3																													2																																																																				2																																																																				2																																																2		2																																																2	2	001
