pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_17b_yn	pbp_d_opt_use_mand_17b1_yn	pbp_d_opt_use_mand_17b2_yn	pbp_d_opt_use_mand_17b3_yn	pbp_d_opt_use_mand_17b4_yn	pbp_d_opt_use_mand_17b5_yn	pbp_b17b_bendesc_yn	pbp_b17b_bendesc_ehc	pbp_b17b_bendesc_amo_cl	pbp_b17b_bendesc_lim_cl	pbp_b17b_bendesc_numv_cl	pbp_b17b_bendesc_per_cl	pbp_b17b_bendesc_per_cl_d	pbp_b17b_bendesc_amo_egs	pbp_b17b_bendesc_lim_egs	pbp_b17b_bendesc_numv_egs	pbp_b17b_bendesc_per_egs	pbp_b17b_bendesc_per_egs_d	pbp_b17b_bendesc_amo_egi	pbp_b17b_bendesc_lim_egl	pbp_b17b_bendesc_numv_egl	pbp_b17b_bendesc_per_egl	pbp_b17b_bendesc_per_egl_d	pbp_b17b_bendesc_amo_egf	pbp_b17b_bendesc_lim_egf	pbp_b17b_bendesc_numv_egf	pbp_b17b_bendesc_per_egf	pbp_b17b_bendesc_per_egf_d	pbp_b17b_bendesc_amo_upg	pbp_b17b_maxplan_yn	pbp_b17b_maxplan_in_oon	pbp_b17b_maxplan_type	pbp_b17b_comb_maxplan_yn	pbp_b17b_comb_maxplan_amt	pbp_b17b_comb_maxplan_per	pbp_b17b_comb_maxplan_per_d	pbp_b17b_indv_maxplan_bendesc	pbp_b17b_indv_maxplan_amt_cl	pbp_b17b_indv_maxplan_per_cl	pbp_b17b_indv_maxplan_per_cl_d	pbp_b17b_indv_maxplan_amt_egs	pbp_b17b_indv_maxplan_per_egs	pbp_b17b_ind_maxplan_per_egs_d	pbp_b17b_indv_maxplan_amt_egl	pbp_b17b_indv_maxplan_per_egl	pbp_b17b_ind_maxplan_per_egl_d	pbp_b17b_indv_maxplan_amt_egf	pbp_b17b_indv_maxplan_per_egf	pbp_b17b_ind_maxplan_per_egf_d	pbp_b17b_indv_maxplan_amt_upg	pbp_b17b_indv_maxplan_per_upg	pbp_b17b_ind_maxplan_per_upg_d	pbp_b17b_coins_yn	pbp_b17b_coins_ehc	pbp_b17b_coins_pct_cl_min	pbp_b17b_coins_pct_cl_max	pbp_b17b_coins_pct_egs_min	pbp_b17b_coins_pct_egs_max	pbp_b17b_coins_pct_egl_min	pbp_b17b_coins_pct_egl_max	pbp_b17b_coins_pct_egf_min	pbp_b17b_coins_pct_egf_max	pbp_b17b_coins_pct_upg_min	pbp_b17b_coins_pct_upg_max	pbp_b17b_ded_nmc_yn	pbp_b17b_ded_nmc_amt	pbp_b17b_copay_yn	pbp_b17b_copay_ehc	pbp_b17b_copay_amt_cl_min	pbp_b17b_copay_amt_cl_max	pbp_b17b_copay_amt_egs_min	pbp_b17b_copay_amt_egs_max	pbp_b17b_copay_amt_egl_min	pbp_b17b_copay_amt_egl_max	pbp_b17b_copay_amt_egf_min	pbp_b17b_copay_amt_egf_max	pbp_b17b_copay_amt_upg_min	pbp_b17b_copay_amt_upg_max	pbp_b17b_auth_yn	pbp_b17b_refer_yn	pbp_d_opt_identifier
H0107	005	0	1	04	01	H0107_005_0	6							1	01011	3	1									3	2	1	3		3	2	1	3			1	2	2	1	150.00	3																		2												2		1	001011	0.00	0.00			0.00	0.00	0.00	0.00			2	2	001
H0524	003	0	1	01	01	H0524_003_0	4							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	008	0	1	01	01	H0524_008_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	013	0	1	01	01	H0524_013_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	015	0	1	01	01	H0524_015_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	031	0	1	01	01	H0524_031_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	032	0	1	01	01	H0524_032_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	033	0	1	01	01	H0524_033_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	034	0	1	01	01	H0524_034_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	035	0	1	01	01	H0524_035_0	5	2	2	2	2	2		1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	036	0	1	01	01	H0524_036_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	037	0	1	01	01	H0524_037_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	038	0	1	01	01	H0524_038_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	039	0	1	01	01	H0524_039_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	040	0	1	01	01	H0524_040_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	041	0	1	01	01	H0524_041_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	042	0	1	01	01	H0524_042_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	043	0	1	01	01	H0524_043_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	046	0	1	01	01	H0524_046_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	051	0	1	01	01	H0524_051_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	054	0	1	01	01	H0524_054_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
H0524	059	0	1	01	01	H0524_059_0	5							1	01111	3	1				3	1				3	1				3	1					1		2	1	300.00	2																		2												2		2												2	1	001
