pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_18a_yn	pbp_d_opt_use_mand_18a1_yn	pbp_d_opt_use_mand_18a2_yn	pbp_b18a_bendesc_yn	pbp_b18a_bendesc_ehc	pbp_b18a_bendesc_amo_rht	pbp_b18a_bendesc_lim_rht	pbp_b18a_bendesc_numv_cl	pbp_b18a_bendesc_per_rht	pbp_b18a_bendesc_per_rht_d	pbp_b18a_bendesc_amo_fha	pbp_b18a_bendesc_lim_fha	pbp_b18a_bendesc_numv_fha	pbp_b18a_bendesc_per_fha	pbp_b18a_bendesc_per_fha_d	pbp_b18a_maxplan_yn	pbp_b18a_maxplan_in_oon	pbp_b18a_maxplan_amt	pbp_b18a_maxplan_per	pbp_b18a_maxplan_per_d	pbp_b18a_ded_nmc_yn	pbp_b18a_ded_nmc_amt	pbp_b18a_coins_yn	pbp_b18a_coins_ehc	pbp_b18a_coins_pct_rht	pbp_b18a_coins_pct_max_rht	pbp_b18a_coins_pct_fha	pbp_b18a_coins_pct_max_fha	pbp_b18a_copay_yn	pbp_b18a_copay_ehc	pbp_b18a_copay_amt_rht	pbp_b18a_copay_amt_max_rht	pbp_b18a_copay_amt_fha	pbp_b18a_copay_amt_max_fha	pbp_b18a_auth_yn	pbp_b18a_refer_yn	pbp_d_opt_identifier
H0524	003	0	1	01	01	H0524_003_0	4				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	008	0	1	01	01	H0524_008_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	013	0	1	01	01	H0524_013_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	015	0	1	01	01	H0524_015_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	031	0	1	01	01	H0524_031_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	032	0	1	01	01	H0524_032_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	033	0	1	01	01	H0524_033_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	034	0	1	01	01	H0524_034_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	035	0	1	01	01	H0524_035_0	5	2		2	1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	036	0	1	01	01	H0524_036_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	037	0	1	01	01	H0524_037_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	038	0	1	01	01	H0524_038_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	039	0	1	01	01	H0524_039_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	040	0	1	01	01	H0524_040_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	041	0	1	01	01	H0524_041_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	042	0	1	01	01	H0524_042_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	043	0	1	01	01	H0524_043_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	046	0	1	01	01	H0524_046_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	051	0	1	01	01	H0524_051_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	054	0	1	01	01	H0524_054_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	059	0	1	01	01	H0524_059_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	060	0	1	01	01	H0524_060_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	061	0	1	01	01	H0524_061_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	062	0	1	01	01	H0524_062_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	063	0	1	01	01	H0524_063_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	064	0	1	01	01	H0524_064_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	065	0	1	01	01	H0524_065_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	078	0	1	01	01	H0524_078_0	5	2		2	1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	081	0	1	01	01	H0524_081_0	5	2		2	1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	082	0	1	01	01	H0524_082_0	5	2		2	1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H0524	083	0	1	01	01	H0524_083_0	5	2		2	1	10						3	1				2					2		2						1	100			0.00	0.00	2	2	001
H1170	002	0	1	01	01	H1170_002_0	6				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1170	009	0	1	01	01	H1170_009_0	6				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1170	012	0	1	01	01	H1170_012_0	6				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1170	013	0	1	02	01	H1170_013_0	6				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1170	014	0	1	01	01	H1170_014_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1170	016	0	1	01	01	H1170_016_0	6				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1170	017	0	1	01	01	H1170_017_0	5				1	10						3	1				2					2		2						1	100			0.00	0.00	1	2	001
H1230	001	0	1	01	01	H1230_001_0	3				1	10						3	1				2					2		2						1	100			0.00	0.00	1	1	001
H1230	003	0	1	01	01	H1230_003_0	3				1	10						3	1				2					2		2						1	100			0.00	0.00	1	1	001
H1230	013	0	1	01	01	H1230_013_0	3				1	10						3	1				2					2		2						1	100			0.00	0.00	1	1	001
H1230	014	0	1	01	01	H1230_014_0	3				1	10						3	1				2					2		2						1	100			0.00	0.00	1	1	001
H3924	059	21	1	04	01	H3924_059_21	3				1	11	3	2	1	3		3	1				2					2		2						1	001	20.00	20.00			2	2	001
H3924	059	22	1	04	01	H3924_059_22	3				1	11	3	2	1	3		3	1				2					2		2						1	001	20.00	20.00			2	2	001
H3924	065	0	1	04	01	H3924_065_0	3				1	11	3	2	1	3		3	1				2					2		2						1	001	20.00	20.00			2	2	001
