pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_18b_yn	pbp_d_opt_use_mand_18b1_yn	pbp_d_opt_use_mand_18b2_yn	pbp_d_opt_use_mand_18b3_yn	pbp_d_opt_use_mand_18b4_yn	pbp_b18b_bendesc_yn	pbp_b18b_bendesc_ehc	pbp_b18b_bendesc_amo_at	pbp_b18b_bendesc_lim_at	pbp_b18b_bendesc_numv_at	pbp_b18b_bendesc_per_at	pbp_b18b_bendesc_per_at_d	pbp_b18b_bendesc_amo_ie	pbp_b18b_bendesc_lim_ie	pbp_b18b_bendesc_numv_ie	pbp_b18b_bendesc_per_ie	pbp_b18b_bendesc_per_ie_d	pbp_b18b_bendesc_amo_oe	pbp_b18b_bendesc_lim_oe	pbp_b18b_bendesc_numv_oe	pbp_b18b_bendesc_per_oe	pbp_b18b_bendesc_per_oe_d	pbp_b18b_bendesc_amo_ote	pbp_b18b_bendesc_lim_ote	pbp_b18b_bendesc_numv_ote	pbp_b18b_bendesc_per_ote	pbp_b18b_bendesc_per_ote_d	pbp_b18b_maxplan_yn	pbp_b18b_maxplan_perear	pbp_b18b_maxplan_type	pbp_b18b_maxplan_in_oon	pbp_b18b_maxplan_amt	pbp_b18b_maxplan_per	pbp_b18b_maxplan_per_d	pbp_b18b_maxenr_yn	pbp_b18b_maxenr_type	pbp_b18b_maxenr_amt	pbp_b18b_maxenr_per	pbp_b18b_maxenr_per_d	pbp_b18b_coins_yn	pbp_b18b_coins_ehc	pbp_b18b_coins_pct_at_min	pbp_b18b_coins_pct_at_max	pbp_b18b_coins_pct_ie_min	pbp_b18b_coins_pct_ie_max	pbp_b18b_coins_pct_oe_min	pbp_b18b_coins_pct_oe_max	pbp_b18b_coins_pct_ote_min	pbp_b18b_coins_pct_ote_max	pbp_b18b_copay_yn	pbp_b18b_copay_ehc	pbp_b18b_copay_at_min_amt	pbp_b18b_copay_at_max_amt	pbp_b18b_copay_amt_per_ie_min	pbp_b18b_copay_amt_per_ie_max	pbp_b18b_copay_amt_p2_ie_min	pbp_b18b_copay_amt_p2_ie_max	pbp_b18b_copay_amt_per_oe_min	pbp_b18b_copay_amt_per_oe_max	pbp_b18b_copay_amt_p2_oe_min	pbp_b18b_copay_amt_p2_oe_max	pbp_b18b_copay_amt_per_ote_min	pbp_b18b_copay_amt_per_ote_max	pbp_b18b_copay_amt_p2_ote_min	pbp_b18b_copay_amt_p2_ote_max	pbp_b18b_ded_yn	pbp_b18b_ded_amt	pbp_b18b_auth_yn	pbp_b18b_refer_yn	pbp_d_opt_identifier
H0524	003	0	1	01	01	H0524_003_0	4						1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	008	0	1	01	01	H0524_008_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	013	0	1	01	01	H0524_013_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	015	0	1	01	01	H0524_015_0	5						1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	031	0	1	01	01	H0524_031_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	032	0	1	01	01	H0524_032_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	033	0	1	01	01	H0524_033_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	034	0	1	01	01	H0524_034_0	5						1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	035	0	1	01	01	H0524_035_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	036	0	1	01	01	H0524_036_0	5						1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	037	0	1	01	01	H0524_037_0	5						1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	038	0	1	01	01	H0524_038_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	039	0	1	01	01	H0524_039_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	040	0	1	01	01	H0524_040_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	041	0	1	01	01	H0524_041_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	042	0	1	01	01	H0524_042_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	043	0	1	01	01	H0524_043_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	046	0	1	01	01	H0524_046_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	051	0	1	01	01	H0524_051_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	054	0	1	01	01	H0524_054_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	059	0	1	01	01	H0524_059_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	060	0	1	01	01	H0524_060_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	061	0	1	01	01	H0524_061_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	062	0	1	01	01	H0524_062_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	063	0	1	01	01	H0524_063_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	064	0	1	01	01	H0524_064_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	065	0	1	01	01	H0524_065_0	5						1	0100	3	2	2	1																	1	1	2		800.00	1		2					2										2																2		2	2	001
H0524	078	0	1	01	01	H0524_078_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	081	0	1	01	01	H0524_081_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	082	0	1	01	01	H0524_082_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0524	083	0	1	01	01	H0524_083_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		2	2	001
H0630	013	0	1	01	01	H0630_013_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	013	0	1	01	01	H0630_013_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H0630	015	0	1	02	01	H0630_015_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	015	0	1	02	01	H0630_015_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
